U,E_p,m_cdw,m_sdw,V,S,E_GS,coherence,E_p_bits
-5.586206896551724,0.19452579862435404,-0.6332487166612495,-0.08334647212551681,0.9655172413793104,0.40523632071387006,-18.92326262258074,0.520312027439441,0.2806414050003201
-5.586206896551724,0.1360196492541641,-0.7037569723291304,-0.09826283123029826,1.2413793103448276,0.34915777460710223,-18.653597498067064,0.47973858515846624,0.19623487344243795
-5.586206896551724,0.09666425982128568,-0.7462797412476311,-0.10924739440830623,1.5172413793103448,0.3111985091066452,-18.44662834812173,0.44692627557962555,0.13945704827537098
-5.586206896551724,0.070505934637356,-0.773167559674648,-0.11715934553514988,1.793103448275862,0.2852361249233607,-18.283458830656503,0.4207423891312531,0.10171856225455445
-5.586206896551724,0.05282384233478621,-0.7910870186948042,-0.1228726846835605,2.0689655172413794,0.2669677392663055,-18.15150812259885,0.39962835181649103,0.07620869537709662
-5.586206896551724,0.040574063241963776,-0.8036045344547899,-0.12705036938470163,2.3448275862068964,0.25370859233427134,-18.04241528709185,0.3823123885074488,0.058535999827896035
-5.586206896551724,0.031900267127930926,-0.8127117397062759,-0.13016596169246666,2.6206896551724137,0.24400611373414202,-17.950513082038423,0.36810920601128255,0.046022357188498564
-5.586206896551724,0.025538005502685257,-0.8195428014675821,-0.13250208824939977,2.896551724137931,0.2362318054074589,-17.871885840252133,0.35564575230235124,0.03684355389291927
-5.586206896551724,0.020818009614713473,-0.824818599539844,-0.13430174687177623,3.1724137931034484,0.230348908728995,-17.803702238547547,0.34521644015034914,0.030034039232325505
-5.586206896551724,0.01723304642082968,-0.8289943952387249,-0.13570622211407624,3.4482758620689653,0.22541934215308368,-17.743940777330497,0.33587847472815524,0.024862030610739883
-5.586206896551724,0.01448922853802359,-0.8323614619264841,-0.13683636188541706,3.7241379310344827,0.22222883437475888,-17.69099937228459,0.32863943001218704,0.020903538158113744
-5.586206896551724,0.012309286414754483,-0.8351506418343199,-0.13770245090682834,4.0,0.2183511987678753,-17.64384512858197,0.320649528341958,0.017758546467448344
-5.172413793103448,0.0019148481082298385,0.09364940571491073,0.0486027994126258,-4.0,0.14701774061426073,-56.00251517196589,0.18410796576452435,0.002762541869798074
-5.172413793103448,0.06851008583538243,0.0384356555300858,0.10241315809003149,-3.7241379310344827,0.20443097881371686,-53.26728483942071,0.24447616325981397,0.09883916108558255
-5.172413793103448,0.0021153975963674743,0.09409294674674937,0.04755604407093656,-3.4482758620689653,0.1527205560305182,-50.54524690566191,0.19871196119389525,0.003051873621787937
-5.172413793103448,0.002586271590541811,0.09324206245095068,0.04790821589069998,-3.1724137931034484,0.15582190674051904,-47.82326892990124,0.20718568615952354,0.0037312011980668025
-5.172413793103448,0.004502989827293247,0.13302394039055584,0.00981984572727492,-2.896551724137931,0.17759618197470267,-45.11018076579353,0.22608729503274133,0.00649644109300862
-5.172413793103448,0.11862988503892047,0.19057609888823615,-0.04328289830818185,-2.6206896551724137,0.2257458597851199,-42.40018896699454,0.24486029774173165,0.17114674684687747
-5.172413793103448,0.0075906867478408024,0.15538103269742495,-0.010141129747392907,-2.3448275862068964,0.19105623582061768,-39.70764922160284,0.25347448828794805,0.010951046128050645
-5.172413793103448,0.07290648185620596,0.164467754698157,-0.016776040039004365,-2.0689655172413794,0.22728836887041032,-37.02642643720488,0.2764817468438637,0.10518181982260932
-5.172413793103448,0.019867502573919005,0.15548230542161842,-0.007883034274133161,-1.793103448275862,0.2167046882140608,-34.365410264910004,0.29850957490695906,0.028662747438241265
-5.172413793103448,0.02959421467928114,0.15878189900012898,-0.008313012125031513,-1.5172413793103448,0.23546418313090337,-31.732456205201213,0.3270815736732308,0.04269542675680249
-5.172413793103448,0.06082859203542301,0.1624806344315666,-0.00744530140955216,-1.2413793103448276,0.26693074811475,-29.13944887276643,0.3635531265344334,0.08775710807376358
-5.172413793103448,0.10731182784876458,0.1670020385442069,-0.004917647046507065,-0.9655172413793104,0.31030890913530645,-26.602930100781474,0.4041813375226476,0.15481824186614324
-5.172413793103448,0.24344923228581172,0.17470102574720445,0.00010945857729141088,-0.6896551724137931,0.4118790467639237,-24.155351301501945,0.454837235402111,0.3512230001269656
-5.172413793103448,0.30216780938924237,0.20626509562019907,0.0009959871057409575,-0.41379310344827586,0.511240801402135,-21.90963895714346,0.566627367688586,0.43593600012214084
-5.172413793103448,0.36685622894166614,0.12657914123924002,-0.025845763322330326,-0.13793103448275862,0.6488399814570729,-20.30655220781137,0.6873973819983887,0.5292616622133672
-5.172413793103448,0.37959679730185925,-0.1213316000380735,-0.03489217608467771,0.13793103448275862,0.6526446042613175,-19.30647258003663,0.6796774898535247,0.5476424170047256
-5.172413793103448,0.34147549328764915,-0.3297572980382228,-0.047476958093867684,0.41379310344827586,0.5829749393776027,-18.631154704706095,0.6334889939131714,0.49264500075120443
-5.172413793103448,0.269377520348997,-0.5030016916249117,-0.06593124102327046,0.6896551724137931,0.4951751800485568,-18.13048844491252,0.584777170011908,0.3886296127344644
-5.172413793103448,0.1936195852546645,-0.6231367372950759,-0.08428033604706171,0.9655172413793104,0.4157692006628153,-17.756029127282144,0.535681837240108,0.27933401546588277
-5.172413793103448,0.1357617347979969,-0.6965940200602231,-0.09902441109945981,1.2413793103448276,0.357759722906517,-17.47432087761013,0.4927259182094297,0.1958627815355527
-5.172413793103448,0.09642384326549824,-0.7411688863453788,-0.10988734203266928,1.5172413793103448,0.31808859943152246,-17.257977751163253,0.4579084094065019,0.13911020050258927
-5.172413793103448,0.07021000182722381,-0.7693936518350585,-0.11769983362796557,1.793103448275862,0.2908213732129354,-17.087455044266957,0.43009981472765824,0.10129162145694037
-5.172413793103448,0.05250232439210234,-0.7882012575836805,-0.1233301798456096,2.0689655172413794,0.27157527663230857,-16.949642165809983,0.4076883272195907,0.07574484303562912
-5.172413793103448,0.040255797648452774,-0.8013312972358698,-0.1274379730807125,2.3448275862068964,0.2575575313630731,-16.83579557290148,0.3893129837503764,0.05807683963445198
-5.172413793103448,0.03157576299363685,-0.8108704728193883,-0.13048679889996936,2.6206896551724137,0.24708575671388916,-16.739983991295823,0.3740327965259459,0.04555419668320537
-5.172413793103448,0.025271459419695885,-0.8180343793585374,-0.1327863810237161,2.896551724137931,0.2390378044900454,-16.65808258165376,0.3610953423371832,0.03645900918082168
-5.172413793103448,0.020577298701750735,-0.8235565139063651,-0.13454652267290257,3.1724137931034484,0.2326756658806612,-16.587145072046226,0.34996399567703446,0.029686766791906738
-5.172413793103448,0.01705832851064293,-0.8279267062493509,-0.13593257720630872,3.4482758620689653,0.228031705117526,-16.525007337009434,0.340810529057599,0.024609965948158674
-5.172413793103448,0.0143025086618489,-0.8314714756341438,-0.1369986076128051,3.7241379310344827,0.2230359289963597,-16.47008129043589,0.33123913695439083,0.02063415831872062
-5.172413793103448,0.012152164133596655,-0.8343511716956323,-0.13786837289143344,4.0,0.21998066207663072,-16.421132653158978,0.324230901466486,0.017531866931607798
-4.758620689655173,0.03838664342206166,0.060066436168543506,0.0821146455996244,-4.0,0.16203452883661024,-54.76988754717144,0.22111157066607465,0.05538022010138155
-4.758620689655173,0.018421002900814942,0.09059897705519163,0.05160727820403012,-3.7241379310344827,0.15754326561181425,-52.041854647355606,0.20824310475862737,0.026575889533206443
