U,E_p,V,S,E_GS,Coh,E_p_bits
-5.26530612244898,0.3194496682495547,0.40816326530612246,0.6151124860246169,-12.847642908794903,0.6045193672019744,0.46086845219725747
-5.26530612244898,0.2858112646157229,0.5714285714285714,0.572417901921491,-12.606666328071324,0.5797957856351201,0.41233849409130663
-5.26530612244898,0.245958927224041,0.7346938775510204,0.525884084415195,-12.402437810427113,0.5538636940097096,0.354843724568493
-5.26530612244898,0.20566106877331491,0.8979591836734694,0.48084548781329256,-12.230451238749263,0.5298957431896018,0.29670620402318537
-5.26530612244898,0.16915138197131596,1.0612244897959184,0.4409041354464588,-12.085820400627226,0.5058577713079301,0.24403385992953242
-5.26530612244898,0.1382660848148074,1.2244897959183674,0.40735721745501874,-11.963745965937301,0.4832129338987655,0.1994757948854553
-5.26530612244898,0.11311535748476964,1.3877551020408163,0.37997934403933237,-11.85997763059668,0.46262611981494345,0.16319096529165922
-5.26530612244898,0.09300155240339647,1.5510204081632653,0.35790220306880743,-11.770992251778422,0.4442449305974084,0.13417287844735482
-5.26530612244898,0.07701100498625801,1.7142857142857142,0.34013363850606915,-11.693971070946578,0.4279546275108282,0.11110339498754973
-5.26530612244898,0.06428568764740183,1.8775510204081634,0.32578065969276254,-11.626694149197451,0.41353680159499584,0.09274464276904348
-5.26530612244898,0.054114110608907584,2.0408163265306123,0.3141092253410827,-11.567420330893995,0.4007462282954583,0.07807015901758785
-5.26530612244898,0.04592067246416609,2.204081632653061,0.3045351755616368,-11.514781219383192,0.3893598840188701,0.0662495264383387
-5.26530612244898,0.039275992619550726,2.36734693877551,0.2966150449092543,-11.467693912000051,0.37917319146276673,0.05666327977821739
-5.26530612244898,0.03384833027542111,2.5306122448979593,0.2900078982899893,-11.425295225771697,0.3700120548012756,0.04883281823072183
-5.26530612244898,0.029375114258918922,2.693877551020408,0.284434220567292,-11.386892110907292,0.36172571866369685,0.04237933166688901
-5.26530612244898,0.025669978062909715,2.857142857142857,0.27969826359009387,-11.351918298185414,0.35417859048522565,0.037033950051088116
-5.26530612244898,0.0225464661261503,3.020408163265306,0.27565629911597644,-11.319919615545892,0.3473619418019236,0.03252767486976804
-5.26530612244898,0.019933031583400984,3.183673469387755,0.2721727266601834,-11.290506505659453,0.34108248460176493,0.028757285815255607
-5.26530612244898,0.01773191928363338,3.3469387755102042,0.26912611351666865,-11.263363948141421,0.33524029088413304,0.025581752015941372
-5.26530612244898,0.015796999259521716,3.510204081632653,0.2663994391801931,-11.238200128053421,0.3299074043592172,0.022790252492638885
-5.26530612244898,0.014198057791865226,3.673469387755102,0.2641675737164998,-11.214870687249148,0.32501578478251075,0.020483467566578817
-5.26530612244898,0.012802621369488287,3.836734693877551,0.26208243081611,-11.193111692142935,0.3204468086321969,0.01847027836013959
-5.26530612244898,0.009063893092285946,4.0,0.22960070238862054,-11.048354177936886,0.271587745907019,0.013076433615388794
-5.020408163265306,0.03579255288134231,-4.0,0.2492936665221408,-34.63520512673557,0.27384710041268195,0.05163773854266873
-5.020408163265306,0.008430413477497956,-3.836734693877551,0.23881471658689862,-33.677297369798254,0.2663026916061187,0.012162515716629851
-5.020408163265306,0.008454721105446428,-3.673469387755102,0.2411805876446281,-32.71875969517234,0.27103223482884625,0.01219758421092676
-5.020408163265306,0.007340987805045218,-3.510204081632653,0.24336953631060565,-31.761807366793263,0.2748820981511439,0.010590806701565203
