m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,m_cdw,coh_2rdm,Q_2,U
1.0013181357317691e-13,-2.9494949494949494,-118.52931313173778,0.00013677703465742042,9.48066159378591e-5,0.0,0.018300585769528442,2.0499949793251204e-8,0.0,0.0,-4.424242424242424
3.239159005490304e-13,-2.8686868686868685,-115.31290164288163,0.00015323058059779626,0.00010621134491728412,0.0,0.019342270656760245,2.5786380607184523e-8,0.0,0.0,-4.303030303030303
3.3128418961112706e-13,-2.787878787878788,-112.0974548100339,0.007900861813222804,0.0054764600898291604,0.0,0.02074212997600259,3.9500056003838324e-11,0.0,0.0,-4.181818181818182
9.121513777451139e-18,-2.707070707070707,-108.8830630528187,0.00019447208224931956,0.0001347977755101759,0.0,0.021711695435257257,4.168877456439679e-8,0.0,0.0,-4.0606060606060606
1.0261043203536042e-9,-2.6262626262626263,-105.66983196663988,0.001060001322294557,0.0007347369279377958,0.0,0.023987149962115505,3.388498417272734e-8,0.0,0.0,-3.9393939393939394
1.1724522764280712e-13,-2.5454545454545454,-102.4578806499227,0.0002509772770822316,0.0001739641919944468,0.0,0.0245457393460698,6.959740893319744e-8,0.0,0.0,-3.8181818181818183
7.466491085130183e-18,-2.4646464646464645,-99.24725246924312,0.00015182466140650774,0.0001052368359935052,0.0,0.026161372871407566,5.1957436460817186e-6,0.0,0.0,-3.696969696969697
4.796780379951095e-17,-2.3838383838383836,-96.03837964409219,0.0003302593720713176,0.00022891835260452353,0.0,0.027975220461451122,1.2057806673959615e-7,0.0,0.0,-3.5757575757575757
6.585112344773218e-14,-2.303030303030303,-92.83116780641116,0.00038202140629683967,0.0002647970606877159,0.0,0.02996726949014083,1.6123074885604494e-7,0.0,0.0,-3.4545454545454546
6.195491768738186e-14,-2.2222222222222223,-89.62591968256604,0.0004446630197230128,0.0003082169184205341,0.0,0.03218125359291158,2.181351634461537e-7,0.0,0.0,-3.3333333333333335
1.3731144581452965e-12,-2.1414141414141414,-86.42288328361418,0.0642954407529972,0.04456620348079898,0.0,0.0680571625746687,2.4313573056961024e-7,0.0,0.0,-3.212121212121212
8.23148949102574e-14,-2.0606060606060606,-83.22234881638234,0.0006153941281881181,0.0004265587048863928,0.0,0.03742119307157032,4.154007147150196e-7,0.0,0.0,-3.090909090909091
3.0728161643401526e-17,-1.97979797979798,-80.02467317800229,0.0159057274746095,0.011025010153780546,0.0,0.04054281903149844,6.586280132392375e-12,0.0,0.0,-2.9696969696969697
3.2927221832923703e-13,-1.898989898989899,-76.83026433161037,0.01780833141179361,0.012343794708561617,0.0,0.044581777778292184,2.097469004036512e-9,0.0,0.0,-2.8484848484848486
2.0796763202571408e-17,-1.8181818181818181,-73.63963760211327,0.019178170640039127,0.013293294907441133,0.0,0.0481088163075426,5.4182838771232866e-11,0.0,0.0,-2.727272727272727
1.222216503508382e-9,-1.7373737373737375,-70.45306666949052,0.08179883793838139,0.056698633890068795,0.0,0.10183971659736374,2.7198928782001808e-5,0.0,0.0,-2.606060606060606
4.685072077866589e-10,-1.6565656565656566,-67.27240159753885,0.04008811848874183,0.0277869663044239,0.0,0.07790465474999314,3.191732683774373e-7,0.0,0.0,-2.484848484848485
2.18503343664293e-8,-1.5757575757575757,-64.0966699272799,0.06947247378334831,0.04815464932945268,0.0,0.08958671041191131,7.974181156709254e-5,0.0,0.0,-2.3636363636363638
3.7094931973820614e-14,-1.494949494949495,-60.93021180167778,0.0026862776730136595,0.0018619857952502095,0.0,0.07162863952146023,7.254977881711311e-6,0.0,0.0,-2.242424242424242
1.955724915358065e-13,-1.4141414141414141,-57.772191693633005,0.034275011825556145,0.023757627810542914,0.0,0.08045603686184316,1.6980680750400268e-11,0.0,0.0,-2.121212121212121
2.8188383294864345e-9,-1.3333333333333333,-54.625735900848746,0.04832180778502515,0.03349412482574943,0.0,0.10169716339954217,1.557771990283452e-6,0.0,0.0,-2.0
8.210157688547027e-9,-1.2525252525252526,-51.49437822239257,0.04779124905493726,0.03312636953786807,0.0,0.10600482745481643,4.3860529215511423e-7,0.0,0.0,-1.878787878787879
1.2377107427814898e-9,-1.1717171717171717,-48.382900156626576,0.046911342669779366,0.03251646490783866,0.0,0.13238199793433048,7.676543652661294e-5,0.0,0.0,-1.7575757575757576
1.8077616260814568e-10,-1.0909090909090908,-45.30040302045471,0.01908593087486743,0.013229359174276034,0.0,0.14603574461719923,0.0001783741050729315,0.0,0.0,-1.6363636363636365
2.618424124475416e-10,-1.0101010101010102,-42.26485568169216,0.10442393124307747,0.072381153524125,0.0,0.20050288688031265,0.00010357849119092821,0.0,0.0,-1.5151515151515151
3.795431714546775e-7,-0.9292929292929293,-39.31242310803436,0.1385375873565451,0.0960269380777663,0.0,0.2728111912709944,0.000494390523443855,0.0,0.0,-1.393939393939394
4.167902299331838e-10,-0.8484848484848485,-36.636763967597794,0.2786368706723472,0.1931363613065833,0.0,0.5337992046003791,2.138053346548152e-6,0.0,0.0,-1.2727272727272727
1.1298115221158866e-12,-0.7676767676767676,-34.60498261932411,0.31234934462551234,0.21650406757692053,0.0,0.6730491093658063,3.0917414461928416e-11,0.0,0.0,-1.1515151515151516
5.625491392158288e-13,-0.6868686868686869,-32.80330728132811,0.30337754243817505,0.21028528818622627,0.0,0.7043277249761666,7.020668768564775e-12,0.0,0.0,-1.0303030303030303
4.388850394221322e-16,-0.6060606060606061,-31.101106186451013,0.2879792200821072,0.19961198445976436,0.0,0.7202589824734411,7.838660276426879e-12,0.0,0.0,-0.9090909090909091
5.979591821692054e-14,-0.5252525252525253,-29.463572841377058,0.27152881112949867,0.18820942987520572,0.0,0.7302927422778364,1.1299405855424993e-11,0.0,0.0,-0.7878787878787878
6.318903733593118e-14,-0.4444444444444444,-27.87394416635277,0.2562283629611821,0.17760396736603346,0.0,0.7372163544994229,1.0776213255070388e-11,0.0,0.0,-0.6666666666666666
6.277721398273428e-13,-0.36363636363636365,-26.322383002484436,0.24293383628606335,0.1683889036842965,0.0,0.7421405879055467,5.27231036606679e-12,0.0,0.0,-0.5454545454545454
7.871810842052795e-13,-0.2828282828282828,-24.80246709690023,0.2318922205331133,0.16073543885631292,0.0,0.7456014540858331,2.4121329933457503e-12,0.0,0.0,-0.42424242424242425
6.643990912991171e-16,-0.20202020202020202,-23.309670735009796,0.22308488366740908,0.1546306581396082,0.0,0.7479143455100297,4.444840329131949e-12,0.0,0.0,-0.30303030303030304
1.7464328594396505e-13,-0.12121212121212122,-21.84061169338226,0.21640380858529884,0.14999968978333467,0.0,0.7492996285024499,3.662938008464067e-12,0.0,0.0,-0.18181818181818182
1.7774497151901159e-13,-0.04040404040404041,-20.39265064937755,0.2117593437411549,0.14678039207140658,0.0,0.7499271428216391,1.63367930294811e-12,0.0,0.0,-0.06060606060606061
5.048045315092509e-16,0.04040404040404041,-18.963666758222963,0.20916425741834432,0.14498161530344023,0.0,0.7499315084278303,2.2085805406746317e-13,0.0,0.0,0.06060606060606061
4.824612931386696e-14,0.12121212121212122,-17.551924799961185,0.20835288762742588,0.1444192166204732,0.0,0.7494178436108797,4.156813782074664e-13,0.0,0.0,0.18181818181818182
1.1107954833722289e-13,0.20202020202020202,-16.155991173467108,0.20883758815886244,0.1447551854272544,0.0,0.748465083114967,4.7296472294178216e-12,0.0,0.0,0.30303030303030304
9.219187913078741e-14,0.2828282828282828,-14.774676753874726,0.21031623947359135,0.14578010841709022,0.0,0.7471291258521093,3.299298334535905e-12,0.0,0.0,0.42424242424242425
