U,E_p,V,S,E_GS,Coh,E_p_bits
-5.848101265822785,0.002367883964960571,-2.481012658227848,0.039163603810287904,-37.878660897477666,0.09597537919444091,0.003416134453649189
-5.848101265822785,0.0010924846615387729,-2.3797468354430378,0.03991702141437251,-37.07509918214548,0.09766062739247891,0.0015761222034491595
-5.848101265822785,0.0012403429267167088,-2.278481012658228,0.04107248357172949,-36.27177639869461,0.09946490087836155,0.0017894365893762476
-5.848101265822785,0.20089309940394307,-2.1772151898734178,0.17024953708959387,-35.46837690154147,0.09434791409196716,0.2898274782588821
-5.848101265822785,0.0013941252995668396,-2.0759493670886076,0.04355018691300531,-34.6658982905799,0.10334562472967031,0.0020112976560628937
-5.848101265822785,0.0022041920655198055,-1.9746835443037976,0.045081898479965056,-33.863409847152305,0.10556361312507109,0.003179976962091935
-5.848101265822785,0.0025557166033989276,-1.8734177215189873,0.046594402790945254,-33.06124281252217,0.10784801409982733,0.0036871196696410813
-5.848101265822785,0.003297956657914103,-1.7721518987341771,0.048320027265373544,-32.259450387144646,0.1103384603417922,0.004757945715439416
-5.848101265822785,0.003915409293675953,-1.6708860759493671,0.05011518642883397,-31.458073368452226,0.11295636291505161,0.005648741571036453
-5.848101265822785,0.013776217001042035,-1.5696202531645569,0.055045171497110836,-30.657256226486375,0.11614903678590062,0.019874879949613344
-5.848101265822785,0.008090265490118709,-1.4683544303797469,0.054970988916910137,-29.856701464138226,0.11830848859657997,0.011671785902069853
-5.848101265822785,0.009624753756780846,-1.3670886075949367,0.05765560066295818,-29.057181090332747,0.12256401399617395,0.01388558451468569
-5.848101265822785,0.012661345624059628,-1.2658227848101267,0.06102844738494371,-28.25830138430704,0.12656043819320215,0.018266460542812002
-5.848101265822785,0.01891840155501634,-1.1645569620253164,0.06567223522211596,-27.45990349671499,0.12909956282762175,0.027293484104967902
-5.848101265822785,0.029135423885239042,-1.0632911392405062,0.07294914425545573,-26.663901196634306,0.13638679507058032,0.04203353155343281
-5.848101265822785,0.04744273942278676,-0.9620253164556962,0.08378200948870292,-25.86735963581097,0.13769674386837183,0.06844540489144224
-5.848101265822785,0.17708956345437832,-0.8607594936708861,0.1681306674086476,-25.072073418344804,0.13467654477202148,0.25548623498882383
-5.848101265822785,0.18651950335709433,-0.759493670886076,0.1815144235966993,-24.29005665132157,0.157598942041402,0.2690907625223522
-5.848101265822785,0.1557250704179891,-0.6582278481012658,0.16425161909921285,-23.506115442918905,0.17339865915457361,0.22466378683411747
-5.848101265822785,0.23680252732720009,-0.5569620253164557,0.23376972705689045,-22.736063831151114,0.19333990272880933,0.34163383184492524
-5.848101265822785,0.297180342789114,-0.45569620253164556,0.2971245041911929,-21.988653422732007,0.2259088278612051,0.42874060679153647
-5.848101265822785,0.35550365979838716,-0.35443037974683544,0.3738685231694315,-21.293305901883937,0.29697147246725525,0.5128833670090103
-5.848101265822785,0.43091970682957603,-0.25316455696202533,0.47759939936242873,-20.717384491898336,0.37630452360130806,0.6216857240643554
-5.848101265822785,0.4845211480800131,-0.1518987341772152,0.5526511072882441,-20.29015388154009,0.401951547942174,0.6990162575408618
-5.848101265822785,0.5163594902807391,-0.05063291139240506,0.5930375023687775,-19.979046019928266,0.3967900109320774,0.7449492759439753
-5.848101265822785,0.5208131933255711,0.05063291139240506,0.5911528143747972,-19.75993023807141,0.3877692108630781,0.7513746112403465
-5.848101265822785,0.5140559332765071,0.1518987341772152,0.5693887188377876,-19.606268940835765,0.3786124891911287,0.7416259456775651
-5.848101265822785,0.5073909533513588,0.25316455696202533,0.5464770542400198,-19.4931898946144,0.36411856709725315,0.7320104121919293
-5.848101265822785,0.5026946301162654,0.35443037974683544,0.5270925084402546,-19.404780885767778,0.34924878315013674,0.725235049950248
-5.848101265822785,0.49945778800399765,0.45569620253164556,0.5111547678822898,-19.332108220769513,0.3354739910676296,0.7205652738867392
-5.848101265822785,0.4971074224003398,0.5569620253164557,0.4978682262340079,-19.270124272393595,0.3230442075263914,0.7171744130860653
-5.848101265822785,0.4952869174741812,0.6582278481012658,0.4865573401558381,-19.215831270345586,0.311864744463397,0.714547979657183
-5.848101265822785,0.4937951723620162,0.759493670886076,0.4767410697482901,-19.167344426790013,0.3020102879145964,0.7123958463815918
-5.848101265822785,0.49251946871297747,0.8607594936708861,0.46808524114828803,-19.123414218407287,0.29299336975802803,0.7105553950534795
-5.848101265822785,0.49139513176760596,0.9620253164556962,0.46035444741688697,-19.083172958576686,0.2846993640799108,0.7089333197181049
-5.848101265822785,0.4903837014036192,1.0632911392405062,0.45337865000130084,-19.045993700972296,0.2770307433526977,0.7074741341477759
-5.848101265822785,0.48946130077308503,1.1645569620253164,0.44703164988889754,-19.01140787891068,0.26990629576095154,0.7061433913323909
-5.848101265822785,0.48861236278531717,1.2658227848101267,0.4412173171448643,-18.979055095382172,0.2632586957712873,0.7049186327074168
-5.848101265822785,0.48782623691911065,1.3670886075949367,0.4358607141342365,-18.948651295135505,0.25703196318694654,0.7037844928187251
-5.848101265822785,0.48709518101795,1.4683544303797469,0.4309021450540332,-18.919967874408144,0.2511792677180939,0.7027298020955084
-5.848101265822785,0.48641332057775166,1.5696202531645569,0.4262932175600082,-18.89281753762964,0.24566113460373235,0.7017460854198552
-5.848101265822785,0.48577596846908255,1.6708860759493671,0.42199405905615645,-18.86704445329161,0.24044402923675465,0.7008265806933784
-5.848101265822785,0.48517924086874586,1.7721518987341771,0.4179713588632225,-18.842517230448426,0.23549923781733406,0.6999656847436113
-5.848101265822785,0.4846198481125241,1.8734177215189873,0.4141969757523383,-18.819123795206806,0.23080199192676673,0.6991586515883017
-5.848101265822785,0.484095567251134,1.9746835443037976,0.41064742253467684,-18.7967675779259,0.22633083078439928,0.698402274189541
-5.848101265822785,0.48360162816233165,2.0759493670886076,0.4073001169491159,-18.775364624402098,0.22206679772824647,0.6976896707156248
-5.848101265822785,0.4831377618907928,2.1772151898734178,0.4041387626451134,-18.754841371270107,0.21799350522592453,0.6970204531460404
-5.848101265822785,0.48270134724422586,2.278481012658228,0.4011471452191044,-18.73513290766917,0.21409628634774444,0.6963908398996659
-5.848101265822785,0.48229049079428554,2.3797468354430378,0.3983113450639277,-18.716181598614607,0.21036207394703005,0.69579809933682
-5.848101265822785,0.4819030820483614,2.481012658227848,0.39561882821960176,-18.69793598159473,0.20677931175468206,0.6952391866602778
-5.848101265822785,0.4815380723925853,2.5822784810126582,0.3930590761405876,-18.680349872389176,0.20333758362451143,0.6947125890400132
-5.848101265822785,0.481193630876505,2.6835443037974684,0.39062202273552193,-18.66338163314637,0.20002749564576486,0.6942156649728881
-5.848101265822785,0.480867576548321,2.7848101265822787,0.38829817796393534,-18.64699356769051,0.19684048000919707,0.6937452680105567
-5.848101265822785,0.4805591923777275,2.8860759493670884,0.3860801184435829,-18.63115141796324,0.19376894666311995,0.6933003636969532
-5.848101265822785,0.48026739965475196,2.9873417721518987,0.3839607141179706,-18.615823940911554,0.19080582366084065,0.6928793957825481
-5.848101265822785,0.47999172454635053,3.088607594936709,0.38193395954996134,-18.60098255121058,0.1879447729469197,0.6924816806707619
-5.848101265822785,0.4797289324701963,3.189873417721519,0.3799921623334844,-18.586601016987217,0.18517993420102796,0.692102551845708
