U,Omega_2rdm,Omega_1rdm,V,magnetization,charge_density,doublons
-4.040816326530612,"1.8309561011182203, 1.894833950116263, 2.1586922010387997, 2.161579822563134, 2.1615798225631364, 2.161579822563139, 3.3356405507630966, 3.335640550763097, 3.335640550763101, 3.360507197689666, 4.0473390188719165, 4.150204985268677, 4.15020498526868, 4.15020498526868, 4.440763812309494, 4.626945565430484, 8.912130213918354, 8.950171064062578, 8.950171064062593, 8.950171064062623, 10.527258591414625, 10.52725859141491, 10.527258591415015, 10.650660030316791, 11.16804889806581, 11.168048898065916, 11.168048898066075, 12.432514810234977","1.565975095458111, 1.5659750954581133, 1.5955251492743285, 1.5955251492743339, 2.9319018758466564, 2.9319018758466764, 3.351887669621506, 3.351887669621518",1.2244897959183674,"7.216449660063518e-16, -1.2212453270876722e-15, 1.7208456881689926e-15, -1.27675647831893e-15","1.3806033488175693, 0.6193966511823943, 0.6193966511805872, 1.3806033488194487","0.6480168970488378, 0.2597877727602251, 0.25978777275936, 0.6480168970498196"
-4.040816326530612,"1.8359408347554393, 1.8918999851026146, 2.1655925863774375, 2.167937245344049, 2.1679372453440506, 2.167937245344053, 3.331392265034862, 3.3313922650348626, 3.331392265034867, 3.3518745049443157, 4.031609775555421, 4.111121129094231, 4.111121129094231, 4.111121129094232, 4.421247169968182, 4.5883742968575945, 9.254807414012527, 9.287167049890913, 9.287167049890984, 9.287167049891016, 10.877506597247013, 10.887936992191207, 10.887936992191392, 10.8879369921916, 11.585159185032166, 11.585159185033003, 11.585159185033136, 13.090081431342815","1.5698633218169191, 1.5698633218169196, 1.5969635738902548, 1.5969635738902555, 2.9286130839263547, 2.9286130839263573, 3.325772514286217, 3.3257725142862182",1.3877551020408163,"-7.216449660063518e-16, 1.6375789613221059e-15, -1.582067810090848e-15, 6.661338147750939e-16","1.3934653986842398, 0.6065346013157658, 0.6065346013160595, 1.3934653986839347","0.6567456793885718, 0.2565279395008598, 0.256527939501001, 0.6567456793884129"
-4.040816326530612,"1.8398162597335248, 1.8893140627125624, 2.1721687050809333, 2.1740943951916716, 2.174094395191673, 2.1740943951916765, 3.3277276838095546, 3.327727683809555, 3.3277276838095555, 3.3448141796309456, 4.013159191909487, 4.074913519346732, 4.074913519346734, 4.074913519346734, 4.409008683546827, 4.560997530090972, 9.576472065399523, 9.600291700025968, 9.600291700025979, 9.600291700026007, 11.075902455409661, 11.223246975007624, 11.223246975008102, 11.223246975008953, 11.975229514114927, 11.975229514116245, 11.975229514116561, 13.81378598414772","1.5733872179473318, 1.5733872179473318, 1.5983622954311876, 1.5983622954311876, 2.925462035992617, 2.9254620359926187, 3.302502531122759, 3.3025025311227596",1.5510204081632653,"-5.551115123125783e-17, 8.326672684688674e-17, 2.7755575615628914e-17, -5.551115123125783e-17","1.4044807468308842, 0.5955192531691162, 0.5955192531691345, 1.404480746830866","0.6643341389737761, 0.2538324385657163, 0.253832438565725, 0.6643341389737666"
-4.040816326530612,"1.8428587836828192, 1.887005989564421, 2.178455678978641, 2.180053371802493, 2.1800533718024955, 2.180053371802497, 3.3244936802435032, 3.3244936802435037, 3.324493680243504, 3.3389045413122544, 3.99285979443578, 4.041235417064656, 4.041235417064659, 4.041235417064659, 4.402245544971592, 4.541465438064379, 9.879258458943923, 9.892535816373252, 9.892535816373309, 9.892535816373368, 11.250778504835607, 11.53631117282683, 11.53631117282755, 11.536311172828437, 12.341420684085602, 12.34142068408726, 12.341420684088067, 14.658744661658803","1.5766098494693732, 1.5766098494693737, 1.599717579184161, 1.5997175791841611, 2.9224304002227095, 2.922430400222711, 3.2815728857791457, 3.2815728857791457",1.7142857142857142,"0.0, -5.551115123125783e-17, 5.551115123125783e-17, 0.0","1.4140534473602244, 0.585946552639775, 0.5859465526397173, 1.4140534473602846","0.6710175596500169, 0.2515617967767423, 0.2515617967767146, 0.6710175596500482"
-4.040816326530612,"1.845266572537347, 1.8849258684650139, 2.1844820455475196, 2.185819625164057, 2.1858196251640587, 2.1858196251640596, 3.321592922236228, 3.3215929222362286, 3.321592922236229, 3.3338639064638462, 3.9714947862794006, 4.009802447982442, 4.009802447982444, 4.009802447982444, 4.399495265977816, 4.527573929377944, 10.165055276482605, 10.16640125732035, 10.166401257320539, 10.16640125732079, 11.406262837657199, 11.829732481173266, 11.829732481174062, 11.829732481175046, 12.686410690898729, 12.686410690902433, 12.686410690903474, 15.7482909699141","1.5795783240000878, 1.579578324000192, 1.6010287747491594, 1.6010287747493055, 2.919508341312179, 2.9195083413123197, 3.262595263473685, 3.2625952634736928",1.8775510204081634,"4.052314039881821e-15, -2.969846590872294e-14, 6.941669461468791e-14, -4.3798298321462426e-14","1.4224708866811029, 0.5775291133199808, 0.5775291134077369, 1.4224708865911788","0.6769656666100448, 0.24962046583197675, 0.24962046587408343, 0.6769656665632162"
-4.040816326530612,"1.8471841591302618, 1.8830367712844112, 2.1902708251969485, 2.1913997224116435, 2.191399722411645, 2.191399722411648, 3.318960522608903, 3.318960522608903, 3.318960522608904, 3.329497662937076, 3.949684878484917, 3.980379041820259, 3.9803790418202607, 3.980379041820261, 4.399629096708934, 4.517822773395164, 10.423985776326688, 10.423985776326722, 10.423985776327017, 10.435510246452852, 11.545770672340636, 12.105696352196816, 12.105696352198443, 12.105696352199457, 13.012475134792357, 13.01247513479455, 13.012475134797315, 17.50071861836991","1.5823286532202672, 1.5823286532378245, 1.6022964734764709, 1.6022964735008187, 2.916690457428664, 2.91669045745223, 3.2452683243088742, 3.2452683243094214",2.0408163265306123,"1.2058132270453825e-12, 2.372269047867803e-13, -6.1174121324114594e-12, 4.674316489428065e-12","1.4299443874592757, 0.5700556125081069, 0.5700556096287361, 1.4299443904038815","0.682304862408687, 0.2479404569623228, 0.24794045557281297, 0.6823048639352771"
-4.040816326530612,"1.8487186541153018, 1.8813104507989253, 2.195840670296707, 2.1968003884324374, 2.196800388432439, 2.196800388432441, 3.316551308614687, 3.3165513086146885, 3.3165513086146907, 3.325667355770426, 3.9278813164291577, 3.9527675580649952, 3.9527675580649966, 3.952767558064997, 4.401807440386037, 4.511161697365264, 10.667058257414963, 10.6670582574151, 10.667058257415231, 10.692055895562595, 11.67210433824248, 12.366052324706166, 12.366052324706615, 12.366052324707782, 13.321556958720814, 13.32155695872444, 13.321556958725854, 21.469773422225778","1.5848889561140445, 1.5848889561140445, 1.6035217210454138, 1.6035217210454138, 2.9139736830299428, 2.9139736830299436, 3.2293552428954704, 3.2293552428954704",2.204081632653061,"0.0, 2.7755575615628914e-17, -2.7755575615628914e-17, 0.0","1.4366337212101583, 0.5633662787898417, 0.5633662787898135, 1.4366337212101867","0.6871318351995346, 0.24647182737743467, 0.24647182737742113, 0.6871318351995493"
-4.040816326530612,"1.849950602521565, 1.8797247080822967, 2.2012068626040704, 2.2020281237942645, 2.2020281237942667, 2.202028123794267, 3.314332561194436, 3.314332561194437, 3.3143325611944383, 3.322271898307688, 3.9063924172188105, 3.9268000477338867, 3.926800047733888, 3.9268000477338885, 4.405419193059703, 4.506837840728764, 10.897120556019887, 10.897120556020578, 10.897120556020898, 10.935939635671017, 11.787550786274528, 12.612377974119719, 12.612377974134244, 12.61237797413593, 13.615324277679942, 13.615324277687929, 13.615324277688783, 17.374422578080235","1.5872816225157467, 1.587281622515747, 1.6047056909361541, 1.6047056909361543, 2.911356135558959, 2.9113561355589597, 3.2146672773508764, 3.214667277350877",2.36734693877551,"-5.551115123125783e-17, 5.551115123125783e-17, -5.551115123125783e-17, 0.0","1.442662518644282, 0.5573374813557188, 0.5573374813558135, 1.4426625186441853","0.6915222191393436, 0.2451769069659946, 0.24517690696604033, 0.6915222191392933"
-4.040816326530612,"1.8509413814790094, 1.878261705926201, 2.2063821105062082, 2.207089080468432, 2.207089080468432, 2.207089080468434, 3.3122797086379085, 3.3122797086379103, 3.3122797086379103, 3.319235756930964, 3.8854183007227223, 3.902332097308293, 3.902332097308296, 3.9023320973082964, 4.410023910398092, 4.50430058966593, 11.115456946029797, 11.11545694603005, 11.115456946030227, 11.168252031217781, 11.893970123175778, 12.846028923345134, 12.846028923345584, 12.846028923349978, 13.895217417883602, 13.895217417884554, 13.895217417900277, 16.297954906518633","1.5895248056173839, 1.5895248056173903, 1.6058495595480928, 1.6058495595481006, 2.9088364600907837, 2.908836460090791, 3.201051875879838, 3.201051875879845",2.5306122448979593,"1.3322676295501878e-15, -3.1086244689504383e-15, 2.4702462297909733e-15, -6.661338147750939e-16","1.4481283600474177, 0.551871639952608, 0.5518716399574317, 1.4481283600425419","0.6955363252836929, 0.24402663466744198, 0.24402663466976862, 0.6955363252811668"
-4.040816326530612,"1.8517383276543435, 1.8769068461019276, 2.2113771629837076, 2.2119890486592673, 2.2119890486592677, 2.21198904865927, 3.3103736823193284, 3.3103736823193297, 3.31037368231933, 3.3165012967711247, 3.8650819081867236, 3.8792382141354067, 3.879238214135408, 3.879238214135408, 4.415304812664919, 4.503140265685108, 11.323173329446515, 11.32317332944681, 11.323173329447583, 11.38995131813191, 11.992872834773188, 13.068178147983568, 13.068178147985419, 13.06817814799145, 14.162487040423258, 14.162487040428088, 14.162487040442931, 15.7104327919233","1.591633471059653, 1.5916334710596753, 1.60695446686457, 1.6069544668645965, 2.906413455019056, 2.906413455019081, 3.1883840538254735, 3.188384053825491",2.693877551020408,"-3.6637359812630166e-15, 1.1074474670635936e-14, -1.3739009929736312e-14, 6.328271240363392e-15","1.453109564945971, 0.5468904350548125, 0.5468904351606108, 1.4531095648386085","0.699223035884643, 0.2429981658014974, 0.24299816585253756, 0.6992230358290321"
-4.040816326530612,"1.85237834909904, 1.8756479966118038, 2.2162012733692507, 2.2167334865708472, 2.2167334865708486, 2.2167334865708495, 3.308599243037838, 3.308599243037839, 3.3085992430378397, 3.314023693324608, 3.8454529677474008, 3.857408333727546, 3.8574083337275473, 3.857408333727548, 4.421033548341393, 4.5030475080851184, 11.52122833337331, 11.521228333373463, 11.521228333373767, 11.601883949950231, 12.085485140127052, 13.279847063097707, 13.279847063103645, 13.279847063104109, 14.418225008284322, 14.418225008289387, 14.418225008299023, 15.330885203865627","1.5936201468139612, 1.593620146813963, 1.6080215116332253, 1.608021511633227, 2.9040858640866825, 2.9040858640866842, 3.1765600969110572, 3.1765600969110572",2.857142857142857,"-1.6653345369377348e-16, 4.163336342344337e-16, -3.885780586188048e-16, 1.1102230246251565e-16","1.4576699104450692, 0.5423300895549201, 0.5423300895533283, 1.4576699104466802","0.7026225335423419, 0.2420732513918107, 0.2420732513910419, 0.7026225335431754"
-4.040816326530612,"1.8528905084234588, 1.8744749438281876, 2.2208625465824543, 2.221327562684377, 2.221327562684379, 2.221327562684379, 3.3069438918970886, 3.3069438918970895, 3.306943891897092, 3.3117674710185767, 3.82656527424948, 3.8367451423329917, 3.8367451423329917, 3.836745142332992, 4.427044815781872, 4.503785702155027, 11.71045809923249, 11.710458099232758, 11.710458099232932, 11.804801559868032, 12.172803336551024, 13.48193030151206, 13.481930301516973, 13.48193030152078, 14.663389462592875, 14.663389462610997, 14.663389462616111, 15.065678876660577","1.5954954674801678, 1.59549546767931, 1.609051758166997, 1.6090517584161022, 2.9018522689652153, 2.9018522691991255, 3.165492916972826, 3.1654929170532653",3.020408163265306,"-2.1538215655425574e-11, 2.969330337165843e-11, -4.1608383405389304e-13, -7.738976126603347e-12","1.4618619676085087, 0.5381380321450974, 0.5381379920771858, 1.461862008169207","0.7057682472622411, 0.24123712144787915, 0.24123710208689586, 0.7057682682350587"
-4.040816326530612,"1.853297896613232, 1.8733789939073977, 2.2253681977118416, 2.2257761969006205, 2.2257761969006222, 2.225776196900623, 3.305397146229206, 3.305397146229208, 3.305397146229209, 3.3097041017075446, 3.8084287210772536, 3.8171619942803203, 3.817161994280321, 3.8171619942803217, 4.4332184110682755, 4.505171856207004, 11.891596038418701, 11.891596038419628, 11.89159603842088, 11.99937481845447, 12.25563785357158, 13.675215745754171, 13.675215745756542, 13.675215745760628, 14.87210150274204, 14.898825341924578, 14.898825341927916, 14.898825341942135","1.5972685754804263, 1.5972685754909777, 1.6100462463612095, 1.6100462463742322, 2.8997110439146194, 2.899711043926637, 3.155108588182702, 3.1551085881872662",3.183673469387755,"-7.605027718682322e-13, 8.455180999789036e-13, 5.381806111870446e-13, -6.231681837221004e-13","1.4657296458542959, 0.5342703541795297, 0.5342703595749749, 1.4657296403911992","0.7086883386844616, 0.24047763324392119, 0.2404776358572771, 0.7086883358648152"
-4.040816326530612,"1.8536190102902557, 1.872352676214612, 2.2297247445018384, 2.230084096406534, 2.2300840964065354, 2.230084096406536, 3.303950041581326, 3.3039500415813277, 3.30395004158133, 3.3078103050456407, 3.791037538769989, 3.7985812763309816, 3.7985812763309834, 3.798581276330984, 4.43946659458264, 4.507063082169059, 12.065288974584739, 12.065288974585867, 12.06528897458617, 12.18620492553156, 12.334649695616093, 13.860400618268585, 13.8604006182736, 13.860400618283238, 14.727144445985802, 15.125281259431022, 15.125281259465615, 15.125281259503208","1.5989474183747863, 1.5989474189889963, 1.6110059983937661, 1.611005999142482, 2.897660345425252, 2.897660346103318, 3.145343733420011, 3.145343733699338",3.3469387755102042,"-2.0820567492307873e-12, 5.1262383227168584e-11, -1.234775615088779e-10, 7.42972350309401e-11","1.4693098751098406, 0.5306901257666715, 0.5306903009956113, 1.4693096981278764","0.7114067050993979, 0.2397847480133646, 0.23978483278792015, 0.7114066137226073"
-4.040816326530612,"1.8538687750928082, 1.8713895179120825, 2.233938155670861, 2.2342557882948575, 2.234255788294859, 2.234255788294861, 3.302594784817851, 3.302594784817852, 3.302594784817852, 3.306066816104049, 3.774375888038418, 3.7809330832609147, 3.7809330832609174, 3.780933083260918, 4.445725183791854, 4.509346885545143, 12.232110421689075, 12.23211042168977, 12.232110421690635, 12.365833156308117, 12.410380670546484, 14.038104490209129, 14.038104490225356, 14.038104490234215, 14.617043826394065, 15.343422722637168, 15.343422722696836, 15.343422722701092","1.6005389823955352, 1.6005389823991458, 1.6119320239078938, 1.6119320239117103, 2.895698125713638, 2.8956981257166694, 3.1361435248282548, 3.1361435248313527",3.510204081632653,"-1.8629542353210127e-13, 4.419520305276592e-13, -3.469446951953614e-13, 9.126033262418787e-14","1.4726337586162277, 0.5273662413820985, 0.5273662410057671, 1.4726337589959069","0.7139436815843236, 0.23915019984615074, 0.2391501996638694, 0.7139436817800835"
-4.040816326530612,"1.854059318893277, 1.8704838705221274, 2.2380139470512375, 2.2382956327949124, 2.2382956327949155, 2.2382956327949155, 3.3013245208258786, 3.3013245208258795, 3.30132452082588, 3.304457522332266, 3.758421642300402, 3.7641541831935905, 3.764154183193594, 3.7641541831935945, 4.451947238739054, 4.511934045362146, 12.392570134926071, 12.392570134926347, 12.392570134926967, 12.48327224404815, 12.538748021201782, 14.208881105528647, 14.2088811055359, 14.208881105538373, 14.532931361712759, 15.553845590171946, 15.553845590190877, 15.553845590209349","1.602049450311977, 1.6020494503527392, 1.6128253274112774, 1.6128253274598692, 2.89382215687803, 2.893822156920271, 3.1274601513890627, 3.1274601514088225",3.673469387755102,"-4.785782881100431e-12, 1.4229728506620631e-11, -1.8130691392670428e-11, 8.686718011574612e-12","1.4757282046966949, 0.5242717932337645, 0.5242714549948815, 1.4757285470746593","0.7163169679927791, 0.23856688724779512, 0.23856672258035158, 0.7163171439944911"
-4.040816326530612,"1.8542005547280505, 1.8696307729832782, 2.241957280766379, 2.242207858171494, 2.2422078581714944, 2.2422078581714957, 3.300133104174978, 3.3001331041749786, 3.300133104174979, 3.3029687390408276, 3.743148976271893, 3.74818714589556, 3.7481871458955616, 3.7481871458955625, 4.458098526071434, 4.514753387201245, 12.547127955639379, 12.547127955640454, 12.547127955641118, 12.553698395432885, 12.7053950644606, 14.373224354075614, 14.37322435409516, 14.373224354103208, 14.46881181684071, 15.757079107458276, 15.75707910751403, 15.757079107565009","1.6034843532636724, 1.6034843598997197, 1.6136868954954213, 1.6136869033317982, 2.892030055472737, 2.8920300621435175, 3.119251603416896, 3.1192516066866056",3.836734693877551,"-1.5620688076367628e-10, -3.5055819358476015e-11, 6.134961982873222e-10, -4.222335259207455e-10","1.4786178825399339, 0.5213821256803168, 0.5213843898282493, 1.4786156019514998","0.718542705340916, 0.23802807110873095, 0.23802916844786356, 0.7185415304151734"
-4.040816326530612,"1.8543006305081269, 1.8688258422830786, 2.2457730080775136, 2.2459965498349987, 2.2459965498350014, 2.245996549835002, 3.299015107357536, 3.2990151073575364, 3.2990151073575373, 3.3015888142151577, 3.728530002380765, 3.7329795155485908, 3.732979515548594, 3.7329795155485948, 4.46415430902516, 4.5177478493738645, 12.6219471759014, 12.696187371225774, 12.696187371226092, 12.696187371228039, 12.866173127735674, 14.420387244660402, 14.531583974700172, 14.531583974708441, 14.531583974731488, 15.953608564590377, 15.953608564630459, 15.953608564663252","1.6048486792945669, 1.6048486816756125, 1.6145177237003032, 1.614517726486647, 2.890319331355997, 2.890319333676745, 3.111480721905117, 3.11148072309276",4.0,"1.1934103705257826e-10, -4.3698986096352144e-10, 6.2631441699601e-10, -3.0866564859621803e-10","1.4813178981738497, 0.5186820939238532, 0.5186801273452062, 1.4813198805570915","0.7206317620641286, 0.2375310124784445, 0.23753005701240387, 0.7206327815841325"
-3.795918367346939,"1.7920186186968714, 1.7922017565468435, 1.7952105105820941, 1.7955831072265696, 1.7955831072265727, 1.7955831072265733, 7.596954713093959, 8.058914289345362, 8.058914289345374, 8.058914289345392, 8.0796432276906, 8.07964322769061, 8.079643227690624, 8.661875541801386, 11.544224782724308, 11.9972420614492, 11.997242061449661, 11.997242061450253, 12.009756525212522, 12.46939712872412, 12.469397128724344, 12.46939712872555, 15.707236590110934, 16.099205610802382, 20.700464367859325, 20.700464369229998, 20.70046438720253, 22.725706609344442","1.3876407825747723, 1.3876407825747752, 1.388850001420444, 1.3888500014204472, 7.578244684380573, 7.5782446843809135, 7.677751083363405, 7.67775108336376",-4.0,"4.649058915617843e-16, -8.326672684688674e-16, -1.0547118733938987e-15, 1.4762496780562628e-15","0.04136423711181961, 1.9586349759046149, 1.958635706886576, 0.04136508009698858","0.002477982196503672, 0.9608952106142304, 0.9608955769439796, 0.002478389522179235"
-3.795918367346939,"1.7919718620959224, 1.792312325795019, 1.79541602639721, 1.795837049512398, 1.7958370495123996, 1.7958370495124003, 7.538084711403273, 7.995736943929616, 7.995736943929656, 7.9957369439297, 8.01292163993876, 8.012921639938833, 8.012921639938881, 8.585926789700666, 11.573320659209607, 11.866906479581855, 12.08060178803875, 12.080601788039377, 12.080601788040056, 12.313258625201046, 12.313258625203042, 12.313258625204828, 15.794189587571985, 15.91064663761889, 20.481141034569465, 20.481141040874583, 20.48114104254622, 22.702332094663802","1.3877059845337716, 1.387705984533772, 1.3890421593635374, 1.3890421593635374, 7.511436957647663, 7.511436957647684, 7.617298730779705, 7.617298730779719",-3.836734693877551,"-1.682681771697503e-16, 1.1102230246251565e-16, 1.1102230246251565e-16, -1.214306433183765e-17","0.0433175088653311, 1.956682760379218, 1.9566825141862068, 0.04331721656924491","0.002674924491653273, 0.9591152396596245, 0.9591151155156415, 0.0026747845677998375"
-3.795918367346939,"1.7919111065398323, 1.7924464397948772, 1.795643563416637, 1.7961212711795178, 1.7961212711795196, 1.7961212711795207, 7.476749698048851, 7.929762544913257, 7.9297625449133085, 7.929762544913317, 7.943013721930298, 7.943013721930331, 7.943013721930346, 8.506082076562938, 11.611868690671134, 11.715799705793554, 12.148725384585282, 12.148725384586077, 12.148725384586491, 12.1900683394904, 12.190068339491534, 12.190068339492491, 15.714628549955956, 15.939134193929771, 20.23747517340622, 20.23747517624842, 20.23747518653641, 22.611717217381152","1.3877765758363971, 1.3877765758363971, 1.3892594597204249, 1.389259459720425, 7.441424637864027, 7.441424637864037, 7.554005840336125, 7.554005840336127",-3.673469387755102,"3.469446951953614e-18, 0.0, 1.1102230246251565e-16, -1.0581813203458523e-16","0.04542524321067638, 1.9545748224156185, 1.9545747835229332, 0.04542515085077088","0.002897900616190596, 0.9572025026331432, 0.9572024822948472, 0.0028978583246018234"
-3.795918367346939,"1.7918326981048616, 1.7926098598552562, 1.7958972781288163, 1.796441763650384, 1.7964417636503855, 1.7964417636503864, 7.412595187358935, 7.860611532374827, 7.860611532374866, 7.860611532374906, 7.869503014900029, 7.8695030149000615, 7.869503014900109, 8.421865307309098, 11.55582661525973, 11.661203034055792, 11.975397489829211, 11.97539748982978, 11.975397489830689, 12.33467329459669, 12.334673294597852, 12.334673294598726, 15.511167378038252, 16.178401237085414, 19.96135350761017, 19.96135351179592, 19.961353512080684, 22.407896447135773","1.3878534281538661, 1.3878534281538661, 1.3895070734425559, 1.389507073442556, 7.367765210675485, 7.3677652106755085, 7.487439898506, 7.487439898506011",-3.510204081632653,"-1.5612511283791264e-16, 1.6653345369377348e-16, 1.6653345369377348e-16, -1.8735013540549517e-16","0.04770836392279138, 1.9522915879961342, 1.9522916760571518, 0.04770837202392426","0.0031525625563359246, 0.9551416521626259, 0.955141694508327, 0.003152570735574695"
-3.795918367346939,"1.7917319609976483, 1.7928096294974796, 1.7961797934789325, 1.7968031993568867, 1.7968031993568871, 1.7968031993568885, 7.345682625623076, 7.7884416590116015, 7.7884416590116645, 7.788441659011697, 7.792489913456581, 7.792489913456598, 7.792489913456625, 8.333486453156917, 11.386702464070993, 11.723008973483191, 11.792892420598124, 11.79289242059938, 11.792892420600188, 12.528407323275772, 12.52840732327769, 12.528407323278465, 15.301011619187081, 16.589784677710462, 19.648567536029713, 19.64856753653999, 19.64856753738365, 22.0658939149625","1.3879366451084252, 1.3879366451084256, 1.3897896334291502, 1.3897896334291509, 7.290497979070761, 7.2904979790707705, 7.4176839198262785, 7.417683919826286",-3.3469387755102042,"-3.469446951953614e-18, 0.0, -5.551115123125783e-17, 4.336808689942018e-17","0.05018794943631882, 1.9498119302693653, 1.9498121167020512, 0.050188003592265606","0.0034440237621303545, 0.9529158516893007, 0.9529159438132562, 0.003444054951654039"
-3.795918367346939,"1.7916027877327712, 1.7930554208387564, 1.7964984985413774, 1.7972160418012193, 1.7972160418012209, 1.7972160418012213, 7.27531960320655, 7.711155012324882, 7.711155012324903, 7.711155012324931, 7.7124835189831, 7.712483518983106, 7.7124835189831344, 8.239969193009777, 11.207698229066107, 11.60076809153168, 11.600768091531986, 11.600768091532709, 11.798549386410352, 12.79469262890809, 12.794692628909344, 12.794692628909498, 15.083218302730264, 17.384003797890067, 19.29534674142888, 19.29534674877743, 19.295346748987694, 21.582525287277853","1.3880278737183038, 1.3880278737183038, 1.3901160462736037, 1.390116046273604, 7.208780533936055, 7.208780533936084, 7.343873010391148, 7.34387301039118",-3.183673469387755,"0.0, 0.0, 0.0, -6.938893903907228e-18","0.0528943454118268, 1.9471055449350378, 1.9471057632013629, 0.05289434645177329","0.0037812270980985647, 0.9505024633002457, 0.9505025714096316, 0.0037812351083354734"
-3.795918367346939,"1.7914371805926004, 1.7933595395417012, 1.7968601105419113, 1.79769068868657, 1.7976906886865704, 1.7976906886865713, 7.2011787710313095, 7.625142553510257, 7.625142553510284, 7.625142553510296, 7.632446717472706, 7.632446717472739, 7.632446717472744, 8.140955144015386, 11.018347713780924, 11.398579998495359, 11.398579998496126, 11.398579998496556, 11.889078330097295, 13.177104041595511, 13.17710404160013, 13.177104041601059, 14.857579286936405, 18.900262940058777, 18.90026294343406, 18.90026294382791, 19.74325212714823, 20.98255569211971","1.3881281617882977, 1.3881281617882983, 1.3904957819127368, 1.390495781912737, 7.1221936066425116, 7.122193606642525, 7.265591919718786, 7.265591919718808",-3.020408163265306,"0.0, 0.0, -1.6653345369377348e-16, 1.960237527853792e-16","0.05586141500477176, 1.9441384208488788, 1.9441387468841023, 0.05586141726224861","0.004173958702240844, 0.947875841468461, 0.9478760043694237, 0.004173969375439454"
-3.795918367346939,"1.7912233756408225, 1.7937386304650473, 1.7972785589219034, 1.798246832600604, 1.7982468326006043, 1.798246832600606, 7.122011149401489, 7.532817974079586, 7.532817974079593, 7.532817974079606, 7.5472166888010355, 7.547216688801045, 7.547216688801056, 8.035284415417609, 10.822238287582197, 11.18578928982747, 11.185789289827843, 11.185789289828056, 12.010662676233464, 13.772566932820215, 13.772566932824379, 13.77256693283019, 14.589473424829, 18.472521969679654, 18.472521969789412, 18.47252197010667, 18.567271360306105, 20.180130517075828","1.3882405763277479, 1.3882405763277483, 1.390945153421521, 1.3909451534215214, 7.029116775092205, 7.029116775092208, 7.181711386928388, 7.181711386928389",-2.857142857142857,"1.3877787807814457e-17, 0.0, -1.1102230246251565e-16, 2.2551405187698492e-17","0.059131675216089974, 1.940856947824434, 1.9408682094376755, 0.05914316752179971","0.004635275815572795, 0.9449987443267108, 0.9450044500348631, 0.004641028519777675"
-3.795918367346939,"1.790948788255226, 1.794214459075788, 1.7977588346661584, 1.7988946418693554, 1.798894641869357, 1.7988946418693577, 7.038460553025069, 7.435353097764752, 7.435353097764756, 7.435353097764773, 7.457269663935267, 7.457269663935274, 7.45726966393529, 7.923213410542435, 10.610972480546323, 10.961956165519236, 10.961956165519267, 10.96195616551943, 12.13935010852842, 14.341140344750519, 14.871991289549303, 14.871991289552572, 14.871991289578204, 16.127325309078987, 17.99670028902776, 17.99670028928214, 17.996700289454154, 19.453436373097038","1.3883647160767572, 1.3883647160767574, 1.3914757094406625, 1.3914757094406627, 6.93047502138865, 6.930475021388657, 7.092274475897296, 7.0922744758973035",-2.693877551020408,"6.938893903907228e-18, 0.0, 5.551115123125783e-17, -6.245004513516506e-17","0.06275999734333723, 1.9372242399609754, 1.9372398162562319, 0.06277594643945593","0.00518270439084718, 0.9418406365193482, 0.9418485394591544, 0.0051906799047964"
-3.795918367346939,"1.790590291456211, 1.7948181019302252, 1.7983301506551483, 1.7996743477631316, 1.7996743477631323, 1.7996743477631358, 6.947931523322089, 7.32940644766051, 7.329406447660536, 7.3294064476605465, 7.360323275700871, 7.360323275700889, 7.360323275700895, 7.802740414393943, 10.391951841635851, 10.726503454818046, 10.726503454818138, 10.726503454818983, 12.316875300602973, 14.04286510222264, 14.873075652893036, 17.495932254447183, 17.495932255040056, 17.495932255201645, 18.607097673676673, 19.442001457381977, 19.442001469041212, 19.44200146964759","1.3885074018315753, 1.38850740183322, 1.392119857967836, 1.392119857969486, 6.822866156233458, 6.822866156262751, 6.9952841036799835, 6.995284103715007",-2.5306122448979593,"2.725843856188348e-12, -2.8085311853942585e-12, -2.51687559682523e-13, 3.344546861683284e-13","0.06683732491549918, 1.93316267517181, 1.9331626750921806, 0.06683732482051062","0.005850302512149026, 0.9383474594202011, 0.9383474593801122, 0.005850302466622239"
-3.795918367346939,"1.7901252449103513, 1.7955897770460354, 1.799000015247174, 1.8006029445269696, 1.8006029445269711, 1.8006029445269742, 6.851765303392212, 7.216978305833446, 7.2169783058334716, 7.216978305833486, 7.257486411816401, 7.257486411816414, 7.257486411816438, 7.674069956435162, 10.155953321289301, 10.478636999120027, 10.478636999120127, 10.478636999120184, 12.494156740650691, 13.768513968561727, 13.813848009615848, 14.87907867184274, 14.879078671858933, 14.879078671869294, 16.948788323873675, 16.948788323932874, 16.948788324164333, 17.859404129883856","1.3886673139093826, 1.38866731391151, 1.3928978844808488, 1.3928978844826823, 6.70824705153337, 6.708247051890686, 6.890726454298953, 6.890726454653806",-2.36734693877551,"-2.246400981897878e-12, 2.366606910442215e-12, -2.3070434451710753e-13, 1.104949465258187e-13","0.07141886493730884, 1.9285811351831805, 1.9285811350748634, 0.07141886480464678","0.006651628394268124, 0.9344551700850674, 0.9344551700309662, 0.006651628331193422"
