m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,S,Q_2_bits,m_cdw,coh_2rdm,Q_2,U
0.09600303038611262,3.673469387755102,-12.659843960927885,0.02107966359332636,0.014611309386866278,0.31845723178202345,0.2593774298361352,0.03277714210789018,0.7735494439112569,0.7714279071950728,0.022719383638896584,-6.0
0.09637080260539246,3.836734693877551,-12.639316376467933,0.01901589362726508,0.013180813053566665,0.31421625973035733,0.2576096515612326,0.02954913388728242,0.7754189468362814,0.7571069553054783,0.020481898841957502,-6.0
0.09669423037538752,4.0,-12.620119837612402,0.017223353727613855,0.011938319076082227,0.31025890548859486,0.25604414941373366,0.026746933725873223,0.7770841813357008,0.743830247064564,0.018539561700712248,-6.0
0.090187850749286,-4.0,-36.088815823648325,0.009866281832320745,0.00683878543468297,0.2534373226164729,0.23385292759411777,0.015019664282939438,0.3958438547063427,0.5869237050756931,0.010410837950675322,-5.755102040816326
0.08944315868059045,-3.836734693877551,-35.12809595832481,0.01020683847686854,0.007074841312671998,0.2577214956974034,0.23591839368813794,0.015547334455519923,0.3959601232278354,0.5989446673764809,0.010776591043065498,-5.755102040816326
0.08860958337397724,-3.673469387755102,-34.168762201139735,0.01061817348583105,0.007359957014400065,0.26228082562012495,0.23819905463903587,0.01618400862702085,0.3961055182164297,0.6118185072018515,0.011217899949977017,-5.755102040816326
0.08767359398563263,-3.510204081632653,-33.2109752160744,0.011113204308648594,0.007703086233526335,0.26713896448186136,0.24072400745253614,0.01694950108013238,0.3962855945913925,0.6256259609430546,0.01174849888559093,-5.755102040816326
0.0866183396671363,-3.3469387755102042,-32.25492061149796,0.011718639391568697,0.008122741854264204,0.27232913842818895,0.24352994003876,0.017884774360280797,0.3965050625602063,0.640485779294713,0.012396780922779183,-5.755102040816326
0.0854243384359021,-3.183673469387755,-31.3008136393614,0.012460712181947553,0.008637107516686005,0.2778838210617115,0.24665775714045277,0.019030185417835188,0.3967704684991823,0.6565152757802823,0.013190719367905057,-5.755102040816326
0.08406821760959243,-3.020408163265306,-30.34890488611828,0.013374562828595504,0.009270540515862624,0.283840577306275,0.2501557272895697,0.02043981011110052,0.3970888875751334,0.6738541987783457,0.014167796749689376,-5.755102040816326
0.08252207875516052,-2.857142857142857,-29.399487168904862,0.014504496962767899,0.010053751175183256,0.290241412829079,0.25408014696943215,0.022181887932693822,0.3974681432694732,0.6926642798025817,0.015375313080042474,-5.755102040816326
0.08075260922614276,-2.693877551020408,-28.452903888434992,0.015906221659201414,0.011025352696436785,0.2971332536634792,0.25849651539515417,0.024342313889998746,0.39791662561573526,0.7131434382939557,0.016872806241157612,-5.755102040816326
0.07872006768829085,-2.5306122448979593,-27.509559129981866,0.017649690661596384,0.01223383331984107,0.3045684977422009,0.26348073338541533,0.027029186646285286,0.39844286730611345,0.7355425062734975,0.018735204516700854,-5.755102040816326
0.07637717068698217,-2.36734693877551,-26.569929842970215,0.019822985715278296,0.013740246658825228,0.31260569654303194,0.2691202335782045,0.030379265879861173,0.39905469796968995,0.7600872893911691,0.02105730249210591,-5.755102040816326
0.07366794434238999,-2.204081632653061,-25.6345804683878,0.022537979376171524,0.01562213686011149,0.32131056111939094,0.2755149418237508,0.034567584006771845,0.3997576600593842,0.787085093264734,0.023960423393063035,-5.755102040816326
0.07052666966933391,-2.0408163265306123,-24.704180432384998,0.025938777983706363,0.01797939082657618,0.3307576952185799,0.2827780019315264,0.03982179503642502,0.40055214114945753,0.8169324253541128,0.027602364954334213,-5.755102040816326
0.06687714292277906,-1.8775510204081634,-23.77952502996456,0.030214523424696438,0.020943111723790597,0.3410339325221585,0.29103641414719017,0.04644391487464672,0.40142825860624304,0.8500753800582795,0.032192468649527406,-5.755102040816326
0.06263258988306106,-1.7142857142857142,-22.86156052958565,0.035619605236948626,0.024689628942649255,0.3522451140925191,0.3004324222705136,0.054844749746132404,0.40235673664182753,0.8871089185053531,0.03801548365504681,-5.755102040816326
0.05769668395897909,-1.5510204081632653,-21.951415248377057,0.042507789469294455,0.029464154422477185,0.36453007396090314,0.3111283119745831,0.0656021826938944,0.4032724123693763,0.928836242016282,0.0454719679728508,-5.755102040816326
0.05196613246472974,-1.3877551020408163,-21.050440989456817,0.0513947498255507,0.03562412593716435,0.37808943536577444,0.32332182621148703,0.07956783525768918,0.4040435269862366,0.9764118841168735,0.05515222067212511,-5.755102040816326
0.045335009073069935,-1.2244897959183674,-20.160276590292423,0.06308292443150076,0.043725751211170616,0.39324452156282663,0.3372905485293281,0.09807902190773676,0.4044116485339659,1.0316197874646638,0.0679831975074241,-5.755102040816326
0.03770010368888325,-1.0612244897959184,-19.282965728825076,0.07893207703224947,0.05471154665064448,0.4105571200826433,0.3535115659796336,0.12341523608280625,0.403865188892697,1.0974779929120073,0.0855449229289369,-5.755102040816326
0.02896490536661504,-0.8979591836734694,-18.421219363730287,0.10148891731206211,0.07034675689293768,0.43107067676687433,0.3729770285604051,0.15985458705470945,0.40134570643184003,1.179276969251005,0.1108027563165459,-5.755102040816326
0.01903990278058011,-0.7346938775510204,-17.57909043258535,0.13602221440033002,0.09428341440510923,0.4567755757986533,0.3980353330262604,0.2162399291362922,0.3944819824602483,1.28734123280025,0.14988609720530244,-5.755102040816326
0.007859963765168291,-0.5714285714285714,-16.763913288903748,0.1941063047363305,0.13454423785689684,0.49129421475512314,0.43463015824165313,0.3119648596734397,0.3773593516233208,1.4413954691253452,0.21623756291642282,-5.755102040816326
0.004373361526318539,-0.40816326530612246,-15.992273467509152,0.2979631911359122,0.2065323458465016,0.538828044689674,0.4967729727721758,0.484289718478506,0.334019278162934,1.6713788136147965,0.335684052937546,-5.755102040816326
0.015785157838602463,-0.24489795918367346,-15.305003309994559,0.44929820700423884,0.3114297854156267,0.5870439010908651,0.5955262331750774,0.735826998709793,0.23088425483269076,1.9599633351440084,0.5100364095355792,-5.755102040816326
0.0223916054700913,-0.08163265306122448,-14.761718948091715,0.5364431950907034,0.3718340882076896,0.6201270731005023,0.6656451401210209,0.8739553038934695,0.07336663770361478,2.094126614811227,0.6057796548291678,-5.755102040816326
0.02621683997080835,0.08163265306122448,-14.35410860803297,0.539510759006212,0.3739603614869118,0.6200654657469437,0.6671095415236618,0.8726444410846077,0.06490123467257303,2.071064167457195,0.6048710339691055,-5.755102040816326
0.030979236676200124,0.24489795918367346,-14.026767834340406,0.5184509112428102,0.3593627873866885,0.6063248707581828,0.642983199495381,0.8377599335347115,0.18003455703104623,1.983065537464792,0.5806909359156731,-5.755102040816326
0.03727031705923102,0.40816326530612246,-13.75088954852866,0.4797571462721457,0.3325423132920231,0.5863494997225067,0.6069882300092084,0.7741116431808988,0.2865064339489138,1.8766350399635265,0.5365733029094661,-5.755102040816326
0.04459823628276396,0.5714285714285714,-13.516499004139654,0.425372845595827,0.29484598861150846,0.5623968655135454,0.5625249498031912,0.6843725084079266,0.3844391455058817,1.7624630786870417,0.4743708746556914,-5.755102040816326
0.05218452195296275,0.7346938775510204,-13.318628974575654,0.36290069267253466,0.2515435919492184,0.5384967151115334,0.5147804100891594,0.5816187878110619,0.4688991664641248,1.6462678813038092,0.40314742293193007,-5.755102040816326
0.059345928590194705,0.8979591836734694,-13.152584531566333,0.30132538633584893,0.20886284196982996,0.5151868159445616,0.46935110304187055,0.48098248251343234,0.5371079699190925,1.535338240892077,0.33339165165290785,-5.755102040816326
0.0656905609611694,1.0612244897959184,-13.013330292288062,0.2466486596539097,0.17096382302799729,0.4919907365678794,0.42968391553670626,0.3922277060848751,0.5898612666620703,1.4322153539266118,0.27187152861022623,-5.755102040816326
0.07109721778259791,1.2244897959183674,-12.896016257490418,0.20106082134832848,0.13936474143866096,0.47029311974905563,0.3967832375656502,0.3186800426701524,0.629892919061341,1.3403457209167287,0.2208921730775395,-5.755102040816326
0.0756067392232611,1.3877551020408163,-12.796418762619936,0.1642944939909463,0.11388026529134732,0.4506751911248526,0.3701964561053424,0.25967269044546226,0.6602184660136061,1.260029971848189,0.17999139325068692,-5.755102040816326
0.07932945489457735,1.5510204081632653,-12.71107818166347,0.13506626201849148,0.093620798706888,0.43322781336120764,0.3489275798166638,0.2129663144731131,0.6833792323245522,1.1905068024945589,0.14761700043128068,-5.755102040816326
0.08239207922954003,1.7142857142857142,-12.637248210274995,0.11190803678898087,0.07756874018228044,0.41780656395914006,0.3319266194294083,0.17609245940866414,0.7012970929140454,1.130365409838294,0.12205799175698173,-5.755102040816326
0.08491341387741626,1.8775510204081634,-12.572776944378642,0.0935083679951898,0.06481506163462769,0.40418116999552606,0.318277586269445,0.14688292828144034,0.7153628195973867,1.07820268637653,0.10181148761066838,-5.755102040816326
