m_sdw,V,E_GS,E_p_bits,E_p,coh_1rdm,Q_2_bits,S,m_cdw,coh_2rdm,Q_2,U
0.0030470343379549194,-0.40816326530612246,-16.452786764404404,0.2944229675000374,0.2040784498147432,1.0534251585843821,0.47876761107413834,0.48702497482511375,0.3415973654368053,3.2436816023371584,0.33185641975945934,-6.0
0.014574210957512043,-0.24489795918367346,-15.757770724387814,0.4530713252287666,0.3140451116748777,1.1534789443385711,0.7431643635981735,0.5873355411666149,0.23956110994998162,3.832035566444422,0.5151222833206996,-6.0
0.021345699278742435,-0.08163265306122448,-15.209596174615747,0.5497957555201034,0.3810893778225848,1.2215413175218002,0.8974635089881473,0.6629716952739995,0.07617444196821968,4.121524465705197,0.6220743009105703,-6.0
0.02520837777634862,0.08163265306122448,-14.803077763075214,0.552584920432555,0.38302267961776737,1.2217903819716407,0.8951650245718636,0.6648563177700579,0.06664142792731671,4.076723155968221,0.6204811129178607,-6.0
0.030061270793029116,0.24489795918367346,-14.478639491526241,0.5293797071668163,0.36693805146832825,1.1949591862783675,0.8566051234805383,0.6399799309271372,0.1836620064010704,3.900580390900075,0.5937534261937389,-6.0
0.03648124678256008,0.40816326530612246,-14.205809430654197,0.48801924388286544,0.3382691629564045,1.1556023580043022,0.7883970032024661,0.6031031183715712,0.29126660013383904,3.6899424345638243,0.5464751599316999,-6.0
0.04394283910172016,0.5714285714285714,-13.974415040450497,0.4308708923393847,0.29865694421039213,1.1084199352472024,0.6939040685448377,0.5577744752178715,0.3897452457635152,3.4642449529797927,0.4809776486909296,-6.0
0.051643290149787836,0.7346938775510204,-13.77943014251618,0.3661196991989413,0.2537748372472013,1.0624136266609292,0.587236342316471,0.5094565850086357,0.47411775435532844,3.2359249242932724,0.4070412149989968,-6.0
0.05889210925676047,0.8979591836734694,-13.616071043652866,0.3030391123008962,0.21005070629075484,1.0164084514730936,0.48401999822404074,0.4638572578355918,0.5418048241702149,3.0180365041775,0.3354970971036235,-6.0
0.06530248187128261,1.0612244897959184,-13.479236586078683,0.2475368431732301,0.17157946493023357,0.9708076440696831,0.3938446684367567,0.42433113927969124,0.5938789112070285,2.815959445841492,0.2729923215055039,-6.0
0.07076049506545552,1.2244897959183674,-13.364058812831466,0.20156183672561667,0.13971201883484508,0.9283019367742029,0.31961930682442485,0.3917379629893979,0.6332550011903889,2.636493075572915,0.22154322137787386,-6.0
0.07531199124342614,1.3877551020408163,-13.266330568956096,0.16464126270721735,0.1141206270493369,0.8899741710365161,0.2603289630585781,0.36552028323278374,0.6630204103292006,2.48001121814751,0.1804462867621477,-6.0
0.07907003742967993,1.5510204081632653,-13.182623611987829,0.13536577462922583,0.09382840502856138,0.8559535338444975,0.21352276437532947,0.34462598620171775,0.6857265410815003,2.3447243356161214,0.14800270211212485,-6.0
0.08216282765102798,1.7142857142857142,-13.110225531834276,0.11220213292445314,0.07777259208939702,0.8259244909712349,0.17662305931239652,0.32798013951129956,0.7032818370826845,2.227822791958401,0.12242577558425927,-6.0
0.08471007551483563,1.8775510204081634,-13.047015390775302,0.09380884236251186,0.0650233345951674,0.7994167329610482,0.14741104339878186,0.31465769816742756,0.7170586845063991,2.1264957684466053,0.102177549115265,-6.0
0.08681469857334792,2.0408163265306123,-12.991337595068313,0.0791084956564374,0.054833830722597954,0.7759444337757011,0.1241230893168912,0.30391725191783203,0.7280330309723632,2.0381961260234758,0.0860355694023931,-6.0
0.08856161863353203,2.204081632653061,-12.941894810569323,0.06726735529634231,0.04662617766738397,0.7550635667363967,0.10540455879833521,0.29518335276272445,0.7369006298736753,1.9607564443083463,0.07306087274923057,-6.0
0.09001944293892929,2.36734693877551,-12.897663437970834,0.05764982212571601,0.03995981166622253,0.7363896880971348,0.0902286222221651,0.2880154663073175,0.7441619746154796,1.892396551414242,0.06254171509910167,-6.0
0.09124302710844216,2.5306122448979593,-12.857829041084607,0.04977317401560022,0.034500135236432916,0.7195983965504527,0.07781897671191018,0.28207774623186466,0.7501814268188486,1.8316489133990392,0.053940004301919586,-6.0
