U,V,magnetization,charge_density,doublons
-6.0,-2.36734693877551,"-4.841400059281062e-7, 4.013271867608914e-7, -7.271277380205277e-8, 1.1729209220545656e-7, 9.575776019517257e-8, -5.752425949786383e-8","0.02984426335947319, 1.97048657106486, 1.9994287534243282, 1.9694029846355972, 0.030556532517187377, 0.00028089499855371537","0.0007025471724611201, 0.9711431155045936, 0.9994301017730017, 0.9701488049962199, 0.0007203464534380695, 4.078837487043023e-7"
-6.0,-2.204081632653061,"9.457149673791632e-8, -1.3054100606035846e-7, -3.5808933929182274e-8, -7.006160779310378e-8, 1.3899511959111766e-7, 2.8449315519341175e-9","0.031220041420107925, 1.968968577358559, 1.9993579733199256, 1.967905487535734, 0.03222978914919181, 0.0003181312164806701","0.0007752794843118227, 0.9697800738257999, 0.9993597808868767, 0.9687439871258358, 0.000898304470766249, 6.237319781190421e-7"
-6.0,-2.0408163265306123,"1.7091716993621053e-7, -2.841698250044544e-7, 1.3515276947595467e-7, 1.0663949351341628e-7, -1.7585203340893252e-7, 4.7312425398521405e-8","0.03289730403449671, 1.9673363078524742, 1.9992698521306425, 1.9660971651009018, 0.03403768609648532, 0.000361684784998521","0.0009487082206571297, 0.9683118689466945, 0.9992726546813214, 0.9671291111710906, 0.001090559486434572, 9.294048594560175e-7"
-6.0,-1.8775510204081634,"1.7576706144717402e-7, -2.430107023387862e-7, 1.6591942686439154e-7, 4.1773456915805696e-10, -9.596007541877449e-8, -3.1334450581108064e-9","0.03482659718180763, 1.9654148554220587, 1.9991609700097315, 1.9639929414658468, 0.036188491922408764, 0.0004161439981488999","0.0011926736205755317, 0.9666441069327848, 0.9991657518958745, 0.9653014573863758, 0.0013893857817417962, 1.4950490523776949e-6"
-6.0,-1.7142857142857142,"-6.623152986348722e-7, 3.6882924142125906e-6, -3.341949858848281e-6, 1.8196166262640645e-7, 1.9192979422433254e-7, -5.791871364804746e-8","0.0019802389281063353, 0.11043565536229853, 1.9631494290729439, 1.9976148445793052, 1.891212345180171, 0.0356074868771737","0.0001268898910150321, 0.03772035558964973, 0.9647023684996245, 0.9977221627397199, 0.9287702914954223, 0.001424545068119918"
-6.0,-1.5510204081632653,"-4.915336892681588e-7, 5.627459528922962e-7, -5.025238105083041e-7, -1.2317820907714605e-7, 5.5934754063236e-7, -4.857784650013838e-9","0.03960693875854933, 1.960497438259213, 1.9988468144199447, 1.9586618202623258, 0.041813693664631446, 0.0005732946353310451","0.0019237190584747849, 0.9625568460167764, 0.998860047906038, 0.9608248122975626, 0.002384986867790844, 4.276206986462834e-6"
-6.0,-1.3877551020408163,"-1.588142521016106e-6, 1.9388612801929384e-6, -4.488691036641512e-7, 7.748236870996905e-7, -6.150294339923867e-7, -6.16439085877028e-8","0.04273944432425724, 1.9568710980127664, 1.9985911872134006, 1.955044871705338, 0.04605216329130193, 0.000701235452935708","0.002522859091835294, 0.959791039554524, 0.9986165080154416, 0.9579309880032008, 0.003410307834546796, 8.241254604246323e-6"
-6.0,-1.2244897959183674,"1.048151968945435e-5, -1.2966929859414833e-5, 4.158036030599277e-6, 1.097609468037053e-6, -2.6858413051129154e-6, -8.439402356415064e-8","0.04673046809300339, 1.9521851036559434, 1.9982135337177789, 1.950250119336825, 0.0517345871375144, 0.0008861880589349455","0.003439071286952077, 0.9563746226708449, 0.9982665375130582, 0.9542729611693977, 0.0049831062045521905, 1.6688080928418823e-5"
-6.0,-1.0612244897959184,"-3.1691374819987905e-6, 4.5804849987951535e-6, -2.626940021233093e-6, -1.199555096031979e-6, 2.1298932135569576e-6, 2.852543871037093e-7","0.05221905901625722, 1.945779288610456, 1.997636969802036, 1.9434941751882373, 0.059699238148191835, 0.0011712692348238118","0.004903220721586371, 0.9518879279875534, 0.9977493029668058, 0.9494006197420335, 0.007461856593331709, 3.606147887340947e-5"
-6.0,-0.8979591836734694,"-9.171205432567317e-6, 1.0557910633535172e-5, -1.2599520861078517e-6, 1.6151178643952768e-6, -1.728421291303378e-6, -1.3449687821527178e-8","0.06033169733437849, 1.937399240853825, 1.996626433044168, 1.9328678439220037, 0.0711317205980215, 0.0016430642476083814","0.0074004290374227255, 0.9461000318659216, 0.996889000531206, 0.9421685647521365, 0.011262652709266371, 8.25294895455324e-5"
-6.0,-0.7346938775510204,"-7.282972585398451e-6, 6.225522033220798e-6, 5.469833093130205e-7, 1.5049765842434226e-6, -1.062737041600953e-6, 6.822769995588202e-8","0.07310261187418657, 1.9018982581264454, 1.9925177165609356, 1.9136942189277995, 0.11521318719878323, 0.003574007311849832","0.012102406586000564, 0.9261829714862871, 0.9937248523297574, 0.9301138547769945, 0.030641128598634316, 0.00038691630729036547"
-6.0,-0.5714285714285714,"6.212946999071059e-5, -5.216148211395488e-5, -3.596484126799915e-5, 1.4885061139946476e-5, 1.0231112932537756e-5, 8.806793188936499e-7","0.09686271881696149, 1.8128412730406642, 1.976082804185991, 1.8696454704570553, 0.23361552147844278, 0.010952212020887133","0.022164371715748338, 0.8780845277704495, 0.9822512315421573, 0.904333476647666, 0.08550750722849718, 0.0021195520308250394"
-6.0,-0.40816326530612246,"3.6787908055668783e-6, -1.0303878168416158e-5, -5.289332228208821e-6, 1.6096564003920122e-5, -1.2963524192582954e-5, 8.781379779682769e-6","0.1440579859410347, 1.4467717087659957, 1.8418695693729197, 1.7378369441854569, 0.759199438196769, 0.07026435353782054","0.04676742494935319, 0.6865445794222967, 0.8990289582026278, 0.8331013392503432, 0.33973417446790044, 0.021709689233312943"
-6.0,-0.24489795918367346,"3.5060578565393463e-7, -6.534810620406617e-8, 4.580918688268376e-7, -7.333381284446716e-7, 9.000510337031642e-9, -1.9011930169066105e-8","0.3450028646992178, 1.332349818315988, 1.324090694061633, 1.3230863477889414, 1.3312151934337164, 0.3442550817005054","0.140042541984342, 0.6122224902940442, 0.6097015828161623, 0.6091407357462224, 0.6116423611186318, 0.13970365782062155"
-6.0,-0.08163265306122448,"4.090160330705306e-7, -8.337749735076727e-8, -6.258998397346005e-8, 3.7458681934054994e-8, -1.9680280244349646e-7, -1.0370443129237294e-7","0.7855096750123998, 1.1744111892229592, 1.0377699529744238, 1.0410100781543614, 1.1733215886982977, 0.787977515937561","0.3524089263196518, 0.5277486689667432, 0.4599521439269705, 0.46160935595131597, 0.5272228821276276, 0.35363021668023215"
-6.0,0.08163265306122448,"-2.785130459592722e-10, -5.293817328944073e-10, -1.2658900594431088e-9, 1.8906099463755766e-9, 1.015912354240811e-10, 8.158368425270623e-11","1.1604807683598422, 0.8535844241618775, 0.9859329941258625, 0.9859359601720967, 0.8535821739261577, 1.1604836792541655","0.5415136129520836, 0.3706155146728798, 0.43763011460447093, 0.43763158233027244, 0.3706143889217631, 0.5415150845992157"
-6.0,0.24489795918367346,"-5.979154005242293e-8, -3.045816976132709e-7, -1.378725536516079e-7, 5.008797979155766e-7, -4.894975036418003e-9, 6.2609683548764394e-9","1.3407749193404501, 0.6765062888164082, 0.9834163623844968, 0.982139717725187, 0.6773045280349724, 1.3398581836984853","0.6356103619125258, 0.2884673526489693, 0.44186700671018375, 0.4412335976827179, 0.2888622933574106, 0.6351419578648279"
-6.0,0.40816326530612246,"2.169162266474345e-8, 8.816033847391935e-9, 1.678741357036273e-8, -4.6342945064781205e-8, 9.497636566102585e-10, -1.9018886465715923e-9","1.4270001103432182, 0.5875900569000428, 0.9854547064541743, 0.9853697337552265, 0.5876358099915819, 1.4269495825557579","0.6820945757552689, 0.24958533340859498, 0.4477053834571749, 0.44766325283203695, 0.24960781543695698, 0.6820684937725188"
-6.0,0.5714285714285714,"-5.0854778721465266e-9, -1.2825842332642168e-9, 1.7299541105186833e-8, -1.6259308704968944e-8, -6.11245035142538e-9, 1.1440280056618235e-8","1.4778169447830347, 0.5343925874694397, 0.9878112895535476, 0.9877713667389671, 0.5344166565928041, 1.4777911548622042","0.7102011036877942, 0.2274417016193401, 0.4527764905985568, 0.45275666127881037, 0.22745340424037383, 0.7101877298721554"
