U,E_p,m_cdw,m_sdw,V,S,E_GS,Coh,E_p_bits
-4.5,0.014864354908445954,0.39317557331549696,0.14879013179154965,-2.3333333333333335,0.2807814104092646,-23.918342911282473,0.3389671678312377,0.021444731112428173
-4.5,0.018584406600101522,0.3937087328572389,0.13548266759198294,-2.0,0.2974341613888428,-22.023943772376146,0.36145827639884764,0.026811631239830547
-4.5,0.025110836201065245,0.39403775095571525,0.11723615884593601,-1.6666666666666667,0.3193802193886618,-20.157137150461576,0.3887522563489475,0.03622727885985233
-4.5,0.037058537530525903,0.3930308615670458,0.0921877647782737,-1.3333333333333333,0.3486925163892388,-18.32874424595403,0.4228044016224815,0.053464168317887584
-4.5,0.060429762852148405,0.3869583558933619,0.058310643641966385,-1.0,0.3893602647878299,-16.555518373387805,0.46763747577508635,0.0871817191888904
-4.5,0.11504695907814022,0.3605267759059694,0.013868651742392452,-0.6666666666666666,0.45582442503122583,-14.869374234359668,0.5346157128315104,0.16597767733138857
-4.5,0.24468604740369515,0.24557819789242963,-0.0366920441712926,-0.3333333333333333,0.5940734021300236,-13.368866752151131,0.6297615773895876,0.3530073471640325
-4.5,0.31666333614804665,-3.471019196510383e-8,-0.062127840695039425,0.0,0.6843729853401609,-12.293996052970451,0.6785039207989008,0.45684862469214194
-4.5,0.30282858218762976,-0.21422859642422454,-0.07954854035103519,0.3333333333333333,0.6444062122283304,-11.586686290615274,0.6464490086549809,0.43688929376152874
-4.5,0.24824864485456688,-0.4041967973805174,-0.10569574543269891,0.6666666666666666,0.5633724504596729,-11.073675652748928,0.5934161101277142,0.3581470888390892
-4.5,0.1766287846338337,-0.5452710494869402,-0.13202980909234352,1.0,0.47454226189035814,-10.705091433186412,0.5390291609762836,0.254821471669477
-4.5,0.11857925683410442,-0.6321275465309754,-0.1521870856400179,1.3333333333333333,0.4056138273099574,-10.442642610962816,0.49019236499745383,0.17107370578686165
-4.5,0.07992530771684647,-0.6832351239883843,-0.16600605696982645,1.6666666666666667,0.3591676067172619,-10.251435813856325,0.45017469150760614,0.11530784508461878
-4.5,0.055388554086182706,-0.7143633129695304,-0.1752394960300419,2.0,0.3285044748129578,-10.107147346460296,0.4186835274162263,0.0799087923021462
-4.5,0.03955660385371673,-0.7344228963611847,-0.18159882917759304,2.3333333333333335,0.3080974232870588,-9.994223742447573,0.39372925398148717,0.05706811621416685
