U,V,magnetization,charge_density
-6.0,1.7142857142857142,"0.1738049542678065, 0.044575419678896305, 0.5625645251592424, 0.044614220879494744, 0.17444088001456037","1.7625949967645815, 0.12085025811987621, 1.2337656498173264, 0.12095136165515788, 1.7618377336430604"
-6.0,1.8775510204081634,"0.17659271786366104, 0.03822454530111903, 0.570351494177554, 0.03822506417309342, 0.1766061784845716","1.7693584746604423, 0.10367573237196757, 1.2539452484836966, 0.10367762066879933, 1.7693429238150906"
-6.0,2.0408163265306123,"0.17899239496593877, 0.032961575918708776, 0.5759766565984787, 0.03296618020879859, 0.17910319230807492","1.7744311485824578, 0.08995212829388485, 1.2713449936144947, 0.08996665378132862, 1.7743050757278351"
-6.0,2.204081632653061,"0.18125089904160097, 0.028591051595086125, 0.5799707354701888, 0.028600345543829737, 0.181586968349294","1.7781007987702737, 0.07885867724002002, 1.286421749932115, 0.07889185366227555, 1.7777269203953154"
-6.0,2.36734693877551,"0.1830131879895669, 0.024931628099460576, 0.5827189575466518, 0.024967493462438626, 0.18436873290188216","1.7811574176399552, 0.06974394765519154, 1.2995646949111388, 0.06984114997185688, 1.7796927898218593"
-6.0,2.5306122448979593,"0.18449736533624828, 0.021852180424347032, 0.5845512512699805, 0.021924727687883765, 0.1871744752815414","1.7836380427259233, 0.06218358714737329, 1.311063859798387, 0.062357487831560934, 1.78075702249676"
-6.0,2.693877551020408,"0.18528970098411013, 0.019272007880682618, 0.585676891503462, 0.019380095306476143, 0.19038130432526856","1.7861724199008366, 0.05580083613164037, 1.3211978398875401, 0.05613751474618583, 1.7806913893337954"
-6.0,2.857142857142857,"0.19892614846097445, 0.017295842569720724, 0.5861276530445334, 0.017013770678791985, 0.18063658524597892","1.7744899977659983, 0.051133700215530875, 1.3303633482880621, 0.050049349867471234, 1.7939636038629367"
-6.0,3.020408163265306,"0.18556171912454844, 0.015153500709907846, 0.5863595509197159, 0.015312996379478264, 0.1976122328663491","1.7911431918115208, 0.04574362696269864, 1.3383203210056578, 0.04631075917356654, 1.7784821010465541"
-6.0,3.183673469387755,"0.0751152045786122, 0.011979022443216218, 0.5390176116280061, 0.015468711710155503, 0.3584194496400095","1.9087727234384495, 0.035119233498955744, 1.3963525318703196, 0.04693886220654288, 1.612816648985732"
-6.0,3.3469387755102042,"0.19132753592608176, 0.012211953477846945, 0.5863181089164633, 0.012264233666275954, 0.19787816801333225","1.7889344460641678, 0.038565579206765434, 1.3515522690281951, 0.03882377094958253, 1.7821239347512905"
-6.0,3.510204081632653,"0.18462487327927157, 0.010918859704533258, 0.5852244423018358, 0.011267298960029275, 0.20796452575432978","1.797459991457592, 0.03529171930806875, 1.3579888029028035, 0.03609927218069889, 1.7731602141508342"
-6.0,3.673469387755102,"0.1885526545601649, 0.009917767266107007, 0.5851058012528656, 0.010053671343266528, 0.20637010557759672","1.7947421270865034, 0.03278742112636387, 1.3627900399060617, 0.03333074882453294, 1.7763496630565383"
-6.0,3.836734693877551,"0.2100117929284916, 0.00919476712889896, 0.5860285522733751, 0.008999859065682451, 0.18576502860355215","1.7738115333221014, 0.031120886108778466, 1.3659186964473364, 0.03043309710582956, 1.7987157870159562"
-6.0,4.0,"0.1777176301585952, 0.00807833553914792, 0.5817549403942368, 0.00825799278890579, 0.22419110111911444","1.8081688096532973, 0.028009524531502662, 1.3741388143885422, 0.029183679570687477, 1.7604991718559697"
-5.755102040816326,-4.0,"0.009330913409175476, 0.47541159836108393, 0.03037216357233463, 0.475568696539744, 0.009316628117661775","0.020739929430689356, 1.4949288992335812, 1.9688952795512762, 1.494725484559813, 0.02071040722463715"
-5.755102040816326,-3.836734693877551,"0.009989994594202379, 0.47330297778608144, 0.03279182497047639, 0.47395663757259643, 0.009958565076644093","0.021857501903878446, 1.4953600518158723, 1.9664123801549351, 1.4945876531606612, 0.021782412964656047"
-5.755102040816326,-3.673469387755102,"0.01063730100542241, 0.45581667065259224, 0.03964001383102944, 0.47924684580697074, 0.01465916870398552","0.023311116533407655, 1.4945074389711843, 1.9596279026135797, 1.4859880816789897, 0.03656546020283977"
-5.755102040816326,-3.510204081632653,"0.010193564805371862, 0.4714636402157675, 0.03840926274007994, 0.46840431438372454, 0.011529217855056641","0.022437624312013037, 1.4931832803143448, 1.960772523875904, 1.4991700523525178, 0.024436519145220725"
