U,quantum_coherence_1rdm_GS,energy_GS,V,quantum_coherence_2rdm_GS,von_neumann_1rdm_GS,von_neumann_2rdm_GS
-5.878787878787879,0.4697651584639817,-40.98560327103103,-4.787878787878788,1.0710503428892881,0.0059495252034191815,0.009037520109116404
-5.878787878787879,0.47451380047461633,-40.26848048954887,-4.666666666666667,1.0840133634137068,0.006030178925952034,0.009162714875447175
-5.878787878787879,0.4794537710683551,-39.55181539682188,-4.545454545454546,1.0975429635619571,0.006119881131330773,0.009301955539867457
-5.878787878787879,0.4845972268280181,-38.83564068727632,-4.424242424242424,1.1116781977532821,0.00622020843377169,0.009457661327878064
-5.878787878787879,0.48995737388528404,-38.11999222544847,-4.303030303030303,1.126461859200484,0.006333035968726586,0.00963270670395966
-5.878787878787879,0.4955484863579689,-37.404909427886764,-4.181818181818182,1.1419405944842982,0.006460551566255246,0.009830442998755462
-5.878787878787879,0.5013860002568291,-36.69043569890447,-4.0606060606060606,1.1581653106228527,0.006605314417107877,0.010054788252980007
-5.878787878787879,0.507486662046321,-35.97661892864156,-3.9393939393939394,1.1751918059462858,0.0067703471642432955,0.010310368557953087
-5.878787878787879,0.513868663236197,-35.26351206329043,-3.8181818181818183,1.1930813768680806,0.0069592295331930565,0.010602662540065033
-5.878787878787879,0.5205517705093061,-34.55117375896698,-3.696969696969697,1.2119014439912645,0.0071762022805919035,0.010938162638008286
-5.878787878787879,0.5275574622216783,-33.83966913257612,-3.5757575757575757,1.2317262482129145,0.007426290607828401,0.01132456747116839
-5.878787878787879,0.5349090731150965,-33.12907062516932,-3.4545454545454546,1.2526376352104864,0.007715451188402556,0.011771012339933051
-5.878787878787879,0.5426319532085508,-32.41945899572287,-3.3333333333333335,1.2747259669013669,0.008050748773404726,0.012288349985915215
-5.878787878787879,0.5507536435000933,-31.71092446600171,-3.212121212121212,1.2980911916409477,0.008440566243719694,0.012889467245696729
-5.878787878787879,0.5593040586835034,-31.0035680401921,-3.090909090909091,1.322844070578512,0.008894845113046612,0.013589647786822923
-5.878787878787879,0.568315668527883,-30.297503026266202,-2.9696969696969697,1.3491083127422132,0.009425354783771711,0.01440699811585855
-5.878787878787879,0.5778236821340035,-29.59285678949985,-2.8484848484848486,1.3770208321343418,0.010045998308952031,0.015362917386195551
-5.878787878787879,0.5878662492482778,-28.889772772108895,-2.727272727272727,1.406754158287341,0.01077317559820834,0.016482669363528046
-5.878787878787879,0.5984837770036402,-28.188412816437857,-2.606060606060606,1.4385102501319313,0.011625766773193158,0.017795389938390915
-5.878787878787879,0.6097227843392439,-27.48895983248151,-2.484848484848485,1.4724472676692066,0.012627558350496226,0.019337923472872998
-5.878787878787879,0.6216310353915233,-26.791620853397983,-2.3636363636363638,1.508781104183973,0.013805335131058749,0.021151977327235727
-5.878787878787879,0.6342620402241627,-26.09663052614454,-2.242424242424242,1.547763978178583,0.015191946604655948,0.023289030227025442
-5.878787878787879,0.6476731855665416,-25.4042550885441,-2.121212121212121,1.5897077759422555,0.016826296222201886,0.02581049801711366
-5.878787878787879,0.6619281936322476,-24.714796893547636,-2.0,1.6349338085617884,0.01875589892520857,0.028791966554859272
-5.878787878787879,0.6770996315493976,-24.028599562829875,-1.878787878787879,1.6838345046909193,0.021039502478866767,0.032327642815972
-5.878787878787879,0.6932722034059039,-23.346053902854244,-1.7575757575757576,1.7368924568159274,0.0237504845311447,0.03653618968005201
-5.878787878787879,0.7105487709982286,-22.667604832639167,-1.6363636363636365,1.7947080391724337,0.026982074419832358,0.041569677044022146
-5.878787878787879,0.729061306409305,-21.993759828399824,-1.5151515151515151,1.8580548125940086,0.030855684639587988,0.04762782782642372
-5.878787878787879,0.7489895086202742,-21.32509994134768,-1.393939393939394,1.9279689629778642,0.035534452993501775,0.054981114973067235
-5.878787878787879,0.7705924819407413,-20.66229561935506,-1.2727272727272727,2.005896654842055,0.04124640439835314,0.06401009442374228
-5.878787878787879,0.7942625871735687,-20.00613207528821,-1.1515151515151516,2.0939889031650787,0.04832591836492561,0.07527548908665649
-5.878787878787879,0.820616803485203,-19.357554421226215,-1.0303030303030303,2.195430845231445,0.057291113296363605,0.08964840427697096
-5.878787878787879,0.8506500891799635,-18.717755147194868,-0.9090909090909091,2.31524544703238,0.0689929880070792,0.10856040176894988
-5.878787878787879,0.8859864266429522,-18.08835578943254,-0.7878787878787878,2.4616642648819482,0.08491015205921904,0.13449648810799664
-5.878787878787879,0.9292479805235914,-17.471807652857652,-0.6666666666666666,2.6490724016064586,0.10772798093813218,0.17196304682897434
-5.878787878787879,0.984314856525,-16.872323755159737,-0.5454545454545454,2.8987529448414686,0.1423218091372802,0.22913501709144724
-5.878787878787879,1.0548292082326607,-16.298087144579277,-0.42424242424242425,3.2387740162643714,0.19631696950520006,0.3188167885940887
-5.878787878787879,1.1337390952909359,-15.765767154760198,-0.30303030303030304,3.6737100728634093,0.27353404170713813,0.44744449872892256
-5.878787878787879,1.1983734049998989,-15.30305843821078,-0.18181818181818182,4.0376714685201565,0.34802632243213294,0.5704672612660193
-5.878787878787879,1.2359644074166853,-14.928685022482995,-0.06060606060606061,4.156890903471867,0.3788784428054517,0.6169193821967665
-5.878787878787879,1.235605699571126,-14.627422208078723,0.06060606060606061,4.124299203155022,0.37968462798379377,0.6147953919444036
-5.878787878787879,1.215754611963934,-14.373534647784322,0.18181818181818182,4.008103120202673,0.3706223484631803,0.5995020318064324
-5.878787878787879,1.1906347720033603,-14.151860914759204,0.30303030303030304,3.859860956422146,0.3548141651388945,0.5735242275729022
-5.878787878787879,1.159596372178313,-13.955711035828395,0.42424242424242425,3.6991797912792252,0.3321108749698196,0.536085167537105
-5.878787878787879,1.124406976875564,-13.782025329649361,0.5454545454545454,3.5308385736673866,0.3035153091543916,0.488842962632964
